 name	 vol(cu.um)	 len(um)	 <r>_vl(um)	 <r>_obs(um)	 par	 num_child	 children...		
61.01	1655.81	25.6114	4.53642	7.02263	nan	2	60.01	62.01	
60.01	310.464	31.1191	1.78204	2.18431	61	2	59.01	57.01	
59.01	442.176	38.1742	1.92016	2.2605	60	0			
57.01	467.264	11.851	3.54266	3.04669	60	2	56.01	58.01	
56.01	1219.9	39.4581	3.13704	6.30955	57	2	55.01	49.01	
55.01	514.304	50.6067	1.79859	1.99415	56	0			
49.01	31.36	0.5	4.46815	2.22378	56	2	50.01	44.01	
50.01	424.928	27.525	2.21676	1.98644	49	0			
44.01	3012.13	29.0569	5.7443	5.1463	49	2	43.01	35.01	
43.01	680.512	45.4618	2.18283	2.7449	44	0			
35.01	291.648	2.12603	6.608	4.43996	44	2	36.01	23.01	
36.01	758.912	7.63196	5.62604	4.4236	35	2	45.01	46.01	
45.01	746.368	21.8824	3.29499	2.70136	36	0			
46.01	495.488	6.65151	4.86947	3.57059	36	2	51.01	52.01	
51.01	279.104	16.4492	2.324	1.83737	46	0			
52.01	238.336	36.9859	1.43219	1.40498	46	0			
23.01	1906.69	10.0172	7.7838	5.9814	35	2	15.01	24.01	
15.01	24575.3	47.9333	12.7748	27.9091	23	2	16.01	9.01	
16.01	2725.18	49.0533	4.20522	4.0398	15	2	25.01	26.01	
25.01	1854.94	225.725	1.61734	1.2613	16	0			
26.01	2910.21	155.707	2.43912	1.97274	16	0			
9.01	7394.69	13.1569	13.3754	18.6253	15	2	10.01	6.01	
10.01	5237.12	184.65	3.00467	2.74896	9	2	17.01	18.01	
17.01	29.792	8.05151	1.08527	0.87305	10	2	27.01	28.01	
27.01	504.896	72.1724	1.49225	1.73892	17	0			
28.01	390.432	43.4393	1.69144	1.36537	17	2	39.01	40.01	
39.01	106.624	25.9505	1.14362	0.854472	28	0			
40.01	62.72	4.67161	2.06726	1.37326	28	2	47.01	48.01	
47.01	134.848	39.2273	1.04605	0.882731	40	0			
48.01	62.72	8.63141	1.52085	1.29157	40	2	53.01	54.01	
53.01	65.856	15.4711	1.16403	0.779995	48	0			
54.01	21.952	1.9799	1.87863	1.02857	48	0			
18.01	1386.11	116.189	1.94869	1.48159	10	2	29.01	30.01	
29.01	159.936	41.1491	1.11229	0.880776	18	2	41.01	42.01	
41.01	65.856	15.6835	1.15612	0.855228	29	0			
42.01	3.136	0	inf	0	29	0			
30.01	75.264	12.2515	1.39838	1.05274	18	2	20.01	32.01	
20.01	40.768	8.6172	1.22716	0.94966	30	2	19.01	13.01	
19.01	47.04	15.6172	0.979168	0.466667	20	1	31.01		
31.01	1226.18	147.778	1.62516	2.12317	19	0			
13.01	103.488	14.703	1.49681	1.29132	20	2	8.01	14.01	
8.01	3303.78	168.141	2.50089	1.89682	13	2	7.01	5.01	
7.01	294.784	15.1036	2.49251	2.01172	8	2	11.01	12.01	
11.01	232.064	58.6191	1.12256	0.92367	7	0			
12.01	696.192	95.8235	1.52074	1.63783	7	0			
5.01	3857.28	103.655	3.44169	2.58827	8	1	4.01		
4.01	1132.1	26.5398	3.68484	2.70111	5	2	2.01	3.01	
2.01	199.136	3.3799	4.3306	2.62143	4	2	1.01	0.01	
1.01	119.168	13.3427	1.6861	1.88413	2	0			
0.01	1337.5	72.2036	2.42825	1.91626	2	0			
3.01	2025.86	217.28	1.72274	1.32244	4	0			
14.01	127.008	18.3373	1.48482	1.16075	13	2	21.01	22.01	
21.01	9.408	0.5	2.44731	0.933333	14	2	33.01	34.01	
33.01	28.224	5.09117	1.32839	0.955556	21	0			
34.01	25.088	10.1775	0.885802	0.35	21	0			
22.01	178.752	70.4759	0.898525	0.569325	14	0			
32.01	75.264	13.3971	1.33725	0.990829	30	0			
6.01	10860	53.2305	8.05859	12.7792	9	0			
24.01	20525.1	111.632	7.65022	8.79808	23	2	37.01	38.01	
37.01	264.992	20.7084	2.01822	1.67623	24	0			
38.01	835.744	46.9914	2.37932	2.70904	24	0			
58.01	831.04	53.8967	2.21541	2.26633	57	0			
62.01	1103.87	35.0251	3.16734	5.25801	61	0			
14.02	134.848	20.4634	1.4483	2.00719	N/A	2	13.02	10.02	
13.02	62.72	24.5385	0.901995	0.653581	14	0			
10.02	119.168	13.2652	1.69102	2.8458	14	2	9.02	6.02	
9.02	31.36	8.05151	1.11346	0.74	10	2	3.02	8.02	
3.02	9.408	0.5	2.44731	1.05	9	3	1.02	2.02	0.02
1.02	15.68	0.5	3.15946	1.26332	3	2	4.02	5.02	
4.02	25.088	4.52548	1.32839	1.08151	1	0			
5.02	34.496	18.4291	0.771894	0.127273	1	0			
2.02	47.04	7.83196	1.38269	1.02174	3	1	7.02		
7.02	6.272	0.5	1.99822	0.7	2	2	11.02	12.02	
11.02	18.816	4.67161	1.13228	0.933333	7	0			
12.02	56.448	15.377	1.08097	0.783663	7	0			
0.02	715.008	93.2471	1.56229	1.77881	3	0			
8.02	12.544	3.3799	1.0869	0.35	9	0			
6.02	81.536	26.0682	0.997802	0.6	10	0			
6.03	1433.15	156.123	1.70937	2.01017	N/A	2	5.03	4.03	
5.03	100.352	7.47161	2.06767	1.4475	6	2	7.03	8.03	
7.03	185.024	21.7741	1.64463	1.54658	5	2	9.03	10.03	
