 name	 vol(cu.um)	 len(um)	 <r>_vl(um)	 <r>_obs(um)	 par	 num_child	 children...	
24.01	1130.53	16.1409	4.72174	5.63618	nan	2	18.01	23.01
18.01	1773.41	23.754	4.87485	4.71637	24	2	17.01	13.01
17.01	724.416	9.1971	5.00719	4.28282	18	2	21.01	22.01
21.01	326.144	4.52548	4.78958	3.1996	17	2	26.01	27.01
26.01	175.616	15.7036	1.88672	1.50324	21	0		
27.01	238.336	26.0468	1.70664	2.54014	21	0		
22.01	2535.46	25.0315	5.67819	4.67316	17	2	25.01	20.01
25.01	2209.31	89.4856	2.80335	2.8627	22	0		
20.01	592.704	25.5924	2.71512	2.39402	22	2	19.01	15.01
19.01	18.816	7.63675	0.885593	0.5	20	0		
15.01	172.48	11.5918	2.17631	2.5282	20	2	16.01	11.01
16.01	87.808	20.3947	1.17067	0.954684	15	0		
11.01	435.904	16.7953	2.87426	2.11632	15	2	8.01	12.01
8.01	1834.56	19.2285	5.51085	4.8646	11	2	6.01	7.01
6.01	760.48	6.65151	6.03266	4.61468	8	2	4.01	5.01
4.01	2279.87	42.6902	4.12303	4.38108	6	2	3.01	2.01
3.01	75.264	15.2687	1.25261	1.45005	4	0		
2.01	225.792	21.609	1.82374	1.73184	4	2	0.01	1.01
0.01	185.024	39.809	1.21632	1.06225	2	0		
1.01	241.472	36.1699	1.45776	1.27834	2	0		
5.01	9122.62	185.548	3.956	4.79159	6	0		
7.01	2543.3	40.3564	4.47886	3.98858	8	2	9.01	10.01
9.01	72.128	1.9799	3.4053	1.884	7	1	14.01	
14.01	122.304	13.5717	1.69367	1.87042	9	0		
10.01	94.08	14.5569	1.4343	1.50705	7	0		
12.01	1477.06	50.7553	3.04357	3.3742	11	0		
13.01	484.512	9.61665	4.00466	4.16044	18	0		
23.01	1426.88	36.312	3.53666	4.74712	24	2	28.01	29.01
28.01	392	30.9143	2.00904	1.99994	23	0		
29.01	163.072	19.0682	1.64991	1.76469	23	2	30.01	31.01
30.01	31.36	4.67161	1.46177	1.07799	29	0		
31.01	175.616	9.88528	2.378	3.43401	29	2	32.01	33.01
32.01	219.52	24.0084	1.70601	1.98773	31	0		
33.01	62.72	12.9918	1.23964	1.20687	31	0		
5.02	2479.01	105.451	2.73551	3.15356	N/A	2	3.02	6.02
3.02	175.616	17.8285	1.77072	1.82881	5	2	4.02	2.02
4.02	388.864	20.506	2.45688	2.04165	3	0		
2.02	1014.5	53.4145	2.45879	2.49498	3	2	1.02	0.02
1.02	56.448	4.52548	1.99258	1.60307	2	0		
0.02	1393.95	51.08	2.94729	2.46409	2	0		
6.02	1552.32	58.9516	2.89513	2.09793	5	2	7.02	8.02
7.02	337.12	24.503	2.0927	1.6294	6	2	9.02	10.02
9.02	95.648	13.232	1.51688	1.21623	7	2	13.02	11.02
13.02	70.0373	21.6652	1.0144	0.708544	9	2	16.02	17.02
16.02	13.5893	5.3598	0.898359	0.28	13	0		
17.02	1.04533	0.5	0.815769	0	13	0		
11.02	6.272	0.5	1.99822	0.7	9	1	12.02	
12.02	343.392	45.4752	1.55036	1.191	11	2	14.02	15.02
14.02	28.224	4.10593	1.47921	1.0622	12	1	18.02	
18.02	639.744	220.354	0.96132	1.02861	14	0		
15.02	21.952	3.94558	1.33078	0.947487	12	0		
10.02	40.768	13.251	0.989603	0.553846	7	0		
8.02	675.808	37.0232	2.41046	1.77222	6	0		
15.03	495.488	17.0148	3.04458	3.03438	N/A	2	14.03	13.03
14.03	238.336	20.1947	1.93821	2.16759	15	0		
13.03	1323.39	97.5248	2.07832	1.91435	15	2	11.03	12.03
11.03	43.904	1.9799	2.65678	2.39673	13	2	8.03	10.03
8.03	119.168	11.177	1.84222	2.61699	11	2	7.03	5.03
7.03	13.5893	3.3799	1.13129	0.7	8	1	9.03	
9.03	1.04533	0.5	0.815769	0	7	0		
5.03	47.04	2.54558	2.4253	2.02737	8	2	6.03	3.03
6.03	84.672	16.7912	1.26693	1.17502	5	0		
3.03	68.992	3.9598	2.35498	2.35511	5	2	4.03	2.03
4.03	181.888	15.2451	1.94878	1.94473	3	0		
2.03	307.328	32.0409	1.74733	2.24623	3	2	0.03	1.03
0.03	583.296	65.5643	1.68281	2.4491	2	0		
1.03	21.952	7.90538	0.940158	0.4	2	0		
10.03	19.8613	8.7397	0.850513	0.2	11	0		
12.03	106.624	16.3907	1.43898	1.35125	13	0		
7.04	19618.8	168.293	6.09156	5.78893	N/A	2	4.04	8.04
4.04	468.832	19.4143	2.77251	2.52017	7	2	3.04	2.04
3.04	368.48	17.9746	2.55448	3.3017	4	2	5.04	6.04
5.04	567.616	47.6399	1.94745	2.62491	3	0		
6.04	454.72	28.8452	2.24006	3.41245	3	0		
2.04	2606.02	95.4544	2.94792	2.72485	4	2	1.04	0.04
1.04	116.032	8.30593	2.10872	1.98291	2	0		
0.04	558.208	36.1746	2.21626	1.6961	2	0		
8.04	915.712	28.8262	3.17988	2.81912	7	2	9.04	10.04
9.04	43.904	5.92548	1.53573	1.57148	8	0		
10.04	495.488	33.8985	2.15701	1.98217	8	2	11.04	12.04
11.04	2149.21	269.759	1.59249	1.28208	10	2	13.04	14.04
13.04	63.7653	24.2628	0.914633	0.47619	11	0		
14.04	1.04533	0.5	0.815769	0	11	0		
12.04	1266.94	104.089	1.96834	1.52835	10	0		
10.05	116.032	11.5397	1.78903	1.75421	N/A	2	8.05	9.05
8.05	26.656	3.3799	1.58442	0.997767	10	2	5.05	7.05
5.05	78.4	4.52548	2.34828	2.8997	8	2	4.05	6.05
4.05	7.84	0.5	2.23408	0.933333	5	2	1.05	3.05
1.05	10.4533	4.52548	0.857472	0.56	4	2	0.05	
