 name	 vol(cu.um)	 len(um)	 <r>_vl(um)	 <r>_obs(um)	 par	 num_child	 children...		
67.001	29170.9	86.8549	10.3396	14.0602	nan	2	54.001	66.001	
54.001	3075.48	42.8669	4.77882	4.48445	67	2	47.001	55.001	
47.001	332.573	7.37651	3.78829	3.06956	54	2	36.001	46.001	
36.001	1017.48	15.9496	4.50621	3.69741	47	2	35.001	24.001	
35.001	172.872	2.59661	4.60345	4.07257	36	2	44.001	45.001	
44.001	138.298	0.5	9.38312	5.82798	35	2	52.001	53.001	
52.001	65.856	0.5	6.47497	2.408	44	2	62.001	63.001	
62.001	378.672	13.5232	2.9855	2.40293	52	2	72.001	73.001	
72.001	65.856	13.9329	1.2266	0.965333	62	0			
73.001	171.226	12.7073	2.07101	1.49806	62	2	88.001	89.001	
88.001	36.2208	8.65035	1.15448	0.789091	73	0			
89.001	46.0992	10.3467	1.19089	0.741421	73	0			
63.001	525.202	8.95025	4.32186	3.04875	52	2	74.001	75.001	
74.001	421.478	30.3701	2.10179	1.79647	63	0			
75.001	732.648	48.3345	2.19656	1.95587	63	0			
53.001	386.904	2.59661	6.88689	4.64673	44	2	64.001	65.001	
64.001	474.163	9.76974	3.9305	3.15118	53	2	76.001	77.001	
76.001	184.397	23.2603	1.58853	1.2922	64	0			
77.001	177.811	29.0927	1.3948	1.04767	64	0			
65.001	1341.82	13.56	5.61231	4.297	53	2	78.001	79.001	
78.001	709.598	9.15722	4.96649	7.53134	65	2	90.001	91.001	
90.001	418.186	34.8808	1.95351	3.51221	78	0			
91.001	316.109	52.1604	1.38891	1.7638	78	0			
79.001	357.269	4.57651	4.98489	3.38501	65	2	92.001	93.001	
92.001	597.643	36.0774	2.2963	2.38146	79	0			
93.001	651.974	8.98348	4.80638	3.39861	79	2	103.001	104.001	
103.001	783.686	50.1365	2.23059	2.15478	93	2	108.001	109.001	
108.001	39.5136	0.5	5.01549	2.39753	103	2	114.001	115.001	
114.001	250.253	17.1094	2.15773	1.58519	108	2	120.001	121.001	
120.001	177.811	7.17313	2.80899	2.03085	114	3	116.001	122.001	123.001
116.001	194.275	12.5329	2.2213	1.74722	120	2	111.001	117.001	
111.001	42.8064	0.5	5.22029	2.02956	116	1	110.001		
110.001	276.595	31.878	1.66189	1.5825	111	0			
117.001	115.248	4.57651	2.83123	1.95571	116	2	124.001	125.001	
124.001	10813	180.237	4.36995	7.83615	117	0			
125.001	948.326	45.8002	2.56726	3.70905	117	0			
122.001	121.834	17.483	1.48936	1.70026	120	0			
123.001	148.176	33.7658	1.18189	0.877559	120	0			
121.001	1761.65	93.1429	2.45363	3.28881	114	0			
115.001	85.6128	21.8199	1.11755	0.806414	108	0			
109.001	19.7568	1.4	2.11943	1.02998	103	0			
104.001	444.528	12.5335	3.35999	2.44661	93	0			
45.001	711.245	53.5799	2.05558	2.79914	35	0			
24.001	34162.8	31.6342	18.5406	27.5344	36	2	17.001	25.001	
17.001	12486.3	43.997	9.50452	12.0043	24	2	15.001	12.001	
15.001	154.762	0.5	9.92594	4.30956	17	2	16.001	10.001	
16.001	5385.37	174.293	3.13613	2.62112	15	2	22.001	23.001	
22.001	26.3424	0.5	4.09513	1.44246	16	2	31.001	32.001	
31.001	291.413	48.27	1.38625	1.97176	22	0			
32.001	268.363	41.523	1.43431	1.17665	22	2	41.001	42.001	
41.001	181.104	54.6357	1.02719	0.889662	32	0			
42.001	59.2704	20.076	0.969405	0.466667	32	0			
23.001	1504.81	95.8342	2.23566	1.80857	16	2	33.001	34.001	
33.001	291.413	18.9234	2.21401	2.31863	23	2	40.001	43.001	
40.001	77.3808	14.3433	1.31044	1.05002	33	2	39.001	29.001	
39.001	651.974	114.694	1.34515	1.68047	40	0			
29.001	154.762	18.5136	1.63121	1.93122	40	2	30.001	21.001	
30.001	365.501	59.852	1.39422	1.69951	29	0			
21.001	1814.33	129.718	2.11	1.56686	29	2	14.001	20.001	
14.001	444.528	23.1234	2.47371	1.80556	21	2	13.001	9.001	
13.001	46.0992	0.5	5.41735	1.93123	14	2	18.001	19.001	
18.001	62.5632	7.78984	1.5989	1.47825	13	0			
19.001	160.798	14.3433	1.88904	1.36975	13	2	26.001	27.001	
26.001	147.627	45.6854	1.01419	0.766234	19	0			
27.001	24.1472	2.59661	1.7205	1.28628	19	1	28.001		
28.001	309.523	67.5556	1.20765	1.20881	27	0			
9.001	2818.64	111.352	2.83854	2.08189	14	1	6.001		
6.001	892.349	23.2929	3.49205	2.54459	9	2	5.001	4.001	
5.001	1745.18	227.24	1.56352	1.22966	6	2	7.001	8.001	
7.001	1511.4	238.381	1.42062	1.1165	5	1	11.001		
11.001	1891.71	144.932	2.03831	1.58643	7	0			
8.001	365.501	71.7815	1.2731	2.21657	5	0			
4.001	783.686	32.2728	2.78021	2.03829	6	2	3.001	2.001	
3.001	72.4416	14.7162	1.25176	1.09849	4	0			
2.001	765.027	59.9027	2.01623	1.58627	4	2	0.001	1.001	
0.001	80.1248	16.9031	1.22836	0.896796	2	0			
1.001	10.976	1.4	1.57973	0.7	2	0			
20.001	6.5856	0	inf	0.7	21	0			
43.001	518.616	69.918	1.53657	2.7655	33	0			
34.001	225.557	7.3801	3.11905	3.07747	23	0			
10.001	4845.36	53.7856	5.35494	5.29832	15	0			
12.001	6926.4	56.287	6.25857	9.26923	17	0			
25.001	3770.26	24.1094	7.05532	6.0233	24	2	37.001	38.001	
37.001	1183.76	22.8428	4.06147	3.74485	25	2	48.001	49.001	
48.001	245.314	12.16	2.53407	1.9954	37	2	56.001	57.001	
56.001	105.37	14.5496	1.5183	1.28326	48	0			
57.001	184.397	27.5737	1.459	1.29672	48	0			
49.001	227.203	29.1475	1.57519	1.47585	37	0			
38.001	2245.69	27.4193	5.10589	4.24872	25	2	50.001	51.001	
50.001	158.054	4.37374	3.39158	2.36561	38	2	58.001	59.001	
58.001	148.176	1.9799	4.88082	2.91279	50	2	68.001	69.001	
68.001	317.755	14.96	2.60019	2.42346	58	2	82.001	83.001	
82.001	9.8784	2.59661	1.10044	0.466667	68	0			
83.001	36.2208	9.56338	1.09799	0.636364	68	0			
69.001	340.805	16.2899	2.58058	2.3084	58	2	84.001	85.001	
84.001	154.762	33.84	1.20654	0.859642	69	0			
85.001	135.005	8.19661	2.28972	1.77894	69	2	96.001	97.001	
96.001	55.9776	13.9335	1.13084	0.658824	85	0			
97.001	19.7568	7.17313	0.93633	0.466667	85	0			
59.001	164.64	2.59661	4.49251	2.85086	50	2	70.001	71.001	
70.001	271.656	21.8	1.99162	1.87312	59	0			
71.001	74.088	0.5	6.86774	2.81178	59	2	86.001	87.001	
