 name	 vol(cu.um)	 len(um)	 <r>_vl(um)	 <r>_obs(um)	 par	 num_child	 children...	
10.001	1020.88	149.575	1.47395	1.32474	9	0		
12.001	233.171	29.1155	1.59662	1.87126	11	0		
26.001	628.694	50.6468	1.98778	1.74316	25	2	37.001	38.001
37.001	148.321	27.4861	1.3106	1.37626	26	0		
38.001	187.071	11.7398	2.25215	1.81416	26	2	48.001	49.001
48.001	301.987	32.8458	1.71072	1.43079	38	2	60.001	61.001
60.001	332.72	46.4864	1.50939	1.23573	48	0		
61.001	1126.44	87.9388	2.01924	1.66445	48	0		
49.001	352.763	25.3301	2.10547	1.68399	38	2	62.001	63.001
62.001	42.7592	10.5138	1.13778	1.08169	49	0		
63.001	240.52	36.7358	1.44363	1.26993	49	0		
57.001	548.52	62.1095	1.67665	1.53362	56	0		
79.001	514.447	41.4069	1.98865	2.06364	78	0		
84.001	560.546	66.4017	1.63923	1.44858	85	0		
2.2	324.703	26.9498	1.95835	1.50216	N/A	2	0.2	1.2
0.2	209.787	32.8903	1.42489	1.28329	2	0		
1.2	257.891	28.9567	1.68372	1.37065	2	0		
1.3	-2.31E-77	0.5	nan	1.73E-77	N/A	0		
1.4	1.79046e-315	0.5	3.38E-158	0	N/A	0		
1.5	0	0.5	0	0	N/A	0		
1.6	0	0.5	0	0	N/A	0		
1.7	0	0.5	0	0	N/A	0		
1.8	0	0.5	0	0	N/A	0		
1.9	0	0.5	0	0	N/A	0		
