 name	 vol(cu.um)	 len(um)	 <r>_vl(um)	 <r>_obs(um)	 par	 num_child	 children...		
22.01	13777.9	113.696	6.21075	6.68612	nan	2	14.01	21.01	
14.01	2999.81	38.2952	4.99344	4.57524	22	2	8.01	13.01	
8.01	2280.96	283.13	1.60137	1.32615	14	2	5.01	7.01	
5.01	3548.16	226.157	2.23471	1.94006	8	2	2.01	6.01	
2.01	221.184	2.40832	5.40686	4.23591	5	2	1.01	0.01	
1.01	4257.79	0.5	52.0634	95.7067	2	2	3.01	4.01	
3.01	142.848	15.2879	1.7246	1.71153	1	0			
4.01	41.472	6.47106	1.42828	0.962527	1	0			
0.01	1746.43	77.2753	2.68213	2.27328	2	0			
6.01	1594.37	21.3959	4.87028	3.53877	5	2	9.01	10.01	
9.01	1838.59	45.4747	3.58743	2.65929	6	2	15.01	16.01	
15.01	71.424	6.75411	1.83469	1.59975	9	0			
16.01	2327.04	59.2006	3.53724	2.70585	9	2	23.01	24.01	
23.01	85.248	4.69137	2.40501	1.64067	16	3	28.01	29.01	30.01
28.01	70.656	19.1507	1.0837	0.6125	23	2	40.01	41.01	
40.01	301.056	61.2397	1.25093	1.3295	28	0			
41.01	1.536	0.5	0.988862	0	28	0			
29.01	78.336	5.15411	2.19953	1.54586	23	2	42.01	43.01	
42.01	258.048	49.3319	1.29036	1.04489	29	0			
43.01	345.6	40.1872	1.65451	1.31046	29	2	52.01	53.01	
52.01	27.648	5.15411	1.30671	0.833333	43	0			
53.01	27.648	3.86274	1.50942	0.833333	43	0			
30.01	281.088	14.6252	2.47341	2.90112	23	0			
24.01	2999.81	200.162	2.18414	1.91368	16	2	31.01	32.01	
31.01	41.472	13.0077	1.0074	0.533333	24	0			
32.01	184.32	45.3234	1.13776	0.867198	24	0			
10.01	3193.34	32.9675	5.55271	4.41366	6	2	17.01	18.01	
17.01	6349.82	162.22	3.52983	2.95908	10	2	25.01	26.01	
25.01	117.504	3.2	3.41882	1.85465	17	2	33.01	34.01	
33.01	347.904	73.0557	1.2312	1.08276	25	0			
34.01	2068.99	115.784	2.38496	1.76149	25	2	44.01	45.01	
44.01	129.024	22.3332	1.35608	1.08437	34	2	54.01	55.01	
54.01	46.08	14.0538	1.02161	0.5	44	0			
55.01	64.512	10.7624	1.38131	1.02325	44	2	64.01	65.01	
64.01	294.912	54.5317	1.31204	1.18334	55	0			
65.01	32.256	2.26274	2.13016	1.46611	55	0			
45.01	419.328	114.51	1.07965	0.957697	34	0			
26.01	59.904	0	inf	2.24939	17	3	35.01	36.01	37.01
35.01	576	37.9983	2.19662	3.25626	26	0			
36.01	400.896	43.3409	1.7159	1.30337	26	2	46.01	47.01	
46.01	27.648	4.52548	1.39452	0.968053	36	0			
47.01	32.256	3.86274	1.63036	1.02976	36	0			
37.01	493.056	69.4886	1.50285	1.60148	26	0			
18.01	1057.54	4.8	8.37437	5.68937	10	1	27.01		
27.01	12515.3	69.18	7.5885	7.51013	18	2	38.01	39.01	
38.01	3322.37	29.1844	6.01969	5.04367	27	2	48.01	49.01	
48.01	474.624	9.67959	3.95068	2.78186	38	2	56.01	57.01	
56.01	230.4	24.6243	1.72577	1.54421	48	2	66.01	67.01	
66.01	78.336	16.6077	1.22532	0.897808	56	0			
67.01	55.296	18.3537	0.979288	0.55	56	0			
57.01	391.68	6.9338	4.24038	4.20972	48	2	68.01	69.01	
68.01	156.672	19.9415	1.5814	1.81668	57	0			
69.01	308.736	39.349	1.58035	1.31222	57	2	78.01	79.01	
78.01	36.864	9.47106	1.11308	0.4	69	0			
79.01	27.648	10.2741	0.925518	0.266667	69	0			
49.01	1672.7	22.0761	4.91104	3.87934	38	2	58.01	59.01	
58.01	331.776	15.9165	2.57587	2.54789	49	0			
59.01	391.68	5.15411	4.91829	3.06116	49	2	70.01	71.01	
70.01	170.496	9.64547	2.37203	2.15283	59	0			
71.01	175.104	5.29969	3.24301	2.37085	59	2	80.01	81.01	
80.01	290.304	30.362	1.74456	2.84995	71	0			
81.01	225.792	16.8538	2.06505	1.9568	71	0			
39.01	20892.7	59.0946	10.6084	11.0154	27	2	50.01	51.01	
50.01	1147.39	8.98273	6.37642	4.50207	39	2	60.01	61.01	
60.01	585.216	5.15411	6.01183	3.9783	50	2	72.01	73.01	
72.01	165.888	0.5	10.2766	3.81896	60	2	82.01	83.01	
82.01	746.496	12.2794	4.39897	4.85219	72	2	84.01	85.01	
84.01	142.848	10.908	2.04169	1.45015	82	2	86.01	87.01	
86.01	73.728	12.2741	1.38276	1.05	84	0			
87.01	43.776	7.87106	1.33054	0.866274	84	0			
85.01	1638.14	70.8284	2.7133	5.11238	82	0			
83.01	2230.27	46.7957	3.89494	4.45518	72	0			
73.01	403.2	20.6051	2.49573	3.01355	60	0			
61.01	684.288	33.1476	2.56341	2.6532	50	0			
51.01	958.464	11.3137	5.19291	3.9768	39	2	62.01	63.01	
62.01	276.48	7.56243	3.41135	3.34042	51	2	74.01	75.01	
74.01	147.456	20.7413	1.50431	1.18543	62	0			
75.01	327.168	75.9232	1.17118	1.52315	62	0			
63.01	262.656	5.78273	3.80235	2.42599	51	2	76.01	77.01	
76.01	64.512	9.16243	1.49706	1.25182	63	0			
77.01	170.496	16.5338	1.81174	2.90961	63	0			
7.01	327.168	37.4414	1.66776	1.31632	8	2	11.01	12.01	
11.01	82.944	22.5673	1.08163	0.622222	7	0			
12.01	64.512	15.9507	1.13463	0.685714	7	0			
13.01	1294.85	34.7306	3.44492	2.48223	14	2	19.01	20.01	
19.01	336.384	69.4557	1.24162	1.58725	13	0			
20.01	2898.43	119.573	2.77773	2.38715	13	0			
21.01	7098.62	51.5199	6.62254	6.10109	22	0			
13.02	7983.36	127.88	4.45775	4.60113	N/A	2	11.02	12.02	
11.02	4421.38	152.703	3.03585	3.80159	13	2	10.02	9.02	
10.02	129.024	6.89969	2.43975	2.13718	11	0			
9.02	7605.5	203.325	3.45059	3.94035	11	2	7.02	8.02	
7.02	497.664	11.0824	3.78073	3.09382	9	2	4.02	6.02	
4.02	244.224	8.04547	3.10845	2.23626	7	2	2.02	3.02	
2.02	39.168	2.89137	2.07653	1.48379	4	2	0.02	1.02	
0.02	55.296	4.49137	1.97962	2.91646	2	0			
1.02	32.256	4.00832	1.60048	1.12734	2	0			
3.02	91.392	13.4907	1.46846	1.47231	4	1	5.02		
5.02	6.144	1.6	1.10558	0	3	0			
6.02	402.432	27.4479	2.16031	2.67002	7	0			
8.02	794.88	44.4473	2.38591	2.9146	9	0			
12.02	1460.74	49.7146	3.05822	3.20401	13	0			
8.03	5425.92	29.0698	7.70798	10.6126	N/A	2	7.03	3.03	
7.03	1101.31	46.6597	2.741	3.91024	8	2	11.03	12.03	
11.03	32.256	5.29969	1.39189	1.23753	7	0			
12.03	41.472	6.61664	1.41249	0.96	7	0			
3.03	1133.57	18.616	4.40256	6.24906	8	2	4.03	1.03	
4.03	467.712	10.425	3.779	3.2907	3	2	9.03	10.03	
9.03	928.512	54.9075	2.32008	3.10505	4	0			
10.03	532.224	2.89137	7.65457	8.70637	4	0			
1.03	1898.5	48.8405	3.51754	3.99045	3	2	2.03	0.03	
2.03	156.672	5.78273	2.93666	2.51153	1	2	5.03	6.03	
5.03	698.112	47.2405	2.16885	3.28725	2	0			
