name	len	vol	rad	voxc	defc	col	tips	parent	beta	gamma	nchild	q	s
"(3, 13, 44)-(6, 15, 46)"	3.803139	10.017585	0.915663	48	32	#ff7a7ffffffffffffe7d	1	"(4, 14, 48)-(6, 15, 46)"	1.01769	1.404417	0	NA	NA
"(0, 1, 49)-(4, 14, 48)"	16.530367	217.882464	2.048307	555	207	#ff0071	1	"(4, 14, 48)-(4, 18, 50)"	1.33578	2.786193	0	NA	NA
"(3, 26, 42)-(3, 30, 49)"	11.048904	67.618696	1.395722	320	212	#ff0012	1	"(3, 30, 49)-(3, 88, 56)"	0.503956	0.159148	0	NA	NA
"(59, 4, 64)-(63, 42, 58)"	49.972265	289.257754	1.357385	1271	809	#ff0066	1	"(63, 42, 58)-(67, 39, 62)"	1.032389	7.881203	0	NA	NA
"(67, 58, 52)-(67, 84, 58)"	30.961474	813.302645	2.891614	2486	1187	#00e9ff	14	"(63, 89, 57)-(67, 84, 58)"	0.767094	1.950139	2	1.953972079	NA
"(67, 23, 49)-(67, 58, 52)"	42.960027	631.107826	2.162443	1914	906	#ff607ffffffffffffe63	13	"(67, 58, 52)-(67, 84, 58)"	0.747832	1.387532	2	6.140224826	0.499799022
"(67, 10, 49)-(67, 23, 49)"	15.537231	162.15965	1.822677	391	132	#00ff35	12	"(67, 23, 49)-(67, 58, 52)"	0.842879	0.361667	2	NA	NA
"(65, 14, 37)-(67, 10, 49)"	15.730918	71.37529	1.201772	202	88	#2dff7fffffffffffffd3	7	"(67, 10, 49)-(67, 23, 49)"	0.659344	1.012466	2	5.014694785	0.668331906
"(65, 14, 37)-(68, 10, 36)"	7.135821	26.296159	1.083052	60	18	#0031ff	3	"(65, 14, 37)-(67, 10, 49)"	0.901213	0.453618	2	NA	NA
"(67, 8, 39)-(68, 10, 36)"	4.769389	23.165664	1.243415	71	34	#00d6ff	1	"(65, 14, 37)-(68, 10, 36)"	1.148066	0.668373	0	NA	NA
"(58, 2, 39)-(68, 10, 36)"	18.049492	85.775568	1.229913	274	137	#76ff7fffffffffffff8a	2	"(65, 14, 37)-(68, 10, 36)"	1.135599	2.52942	2	1.407344287	0.613023888
"(55, 0, 43)-(58, 2, 39)"	5.674464	10.643684	0.772696	29	12	#ff087ffffffffffffe0b	1	"(58, 2, 39)-(68, 10, 36)"	0.628253	0.314384	0	NA	NA
"(55, 0, 34)-(58, 2, 39)"	5.980079	10.017585	0.730219	18	2	#00d4ff	1	"(58, 2, 39)-(68, 10, 36)"	0.593716	0.331316	0	NA	NA
"(65, 14, 37)-(66, 17, 35)"	4.149695	13.14808	1.004265	33	12	#ff8b7ffffffffffffe8e	4	"(65, 14, 37)-(67, 10, 49)"	0.835653	0.263792	2	NA	NA
"(66, 17, 35)-(66, 27, 36)"	12.634163	51.340121	1.137314	131	49	#00ffdd	3	"(65, 14, 37)-(66, 17, 35)"	1.132484	3.0446	2	3.444539083	0.551570936
"(66, 27, 36)-(67, 29, 35)"	2.3199	6.887089	0.972094	16	5	#8400ff	2	"(66, 17, 35)-(66, 27, 36)"	0.854728	0.183621	2	NA	NA
"(67, 29, 35)-(67, 30, 42)"	11.874917	80.766775	1.471384	463	334	#ffcb7ffffffffffffece	1	"(66, 27, 36)-(67, 29, 35)"	1.513623	5.11872	0	NA	NA
"(63, 28, 42)-(67, 29, 35)"	9.540961	40.696437	1.165218	146	81	#1c00ff	1	"(66, 27, 36)-(67, 29, 35)"	1.198668	4.112661	0	NA	NA
"(63, 26, 39)-(66, 27, 36)"	5.115945	12.521981	0.882671	43	23	#0051ff	1	"(66, 17, 35)-(66, 27, 36)"	0.776101	0.40493	0	NA	NA
"(55, 24, 34)-(66, 17, 35)"	22.068002	95.167053	1.17162	385	233	#ffa47ffffffffffffea7	1	"(65, 14, 37)-(66, 17, 35)"	1.166645	5.317981	0	NA	NA
"(60, 2, 52)-(67, 10, 49)"	15.925316	180.942621	1.901741	505	216	#e6ff7fffffffffffff1a	5	"(67, 10, 49)-(67, 23, 49)"	1.043378	1.024978	2	0.746954114	1.079326832
