name	len	vol	rad	voxc	defc	col	tips	parent	beta	gamma	nchild	q	s
"(122, 35, 51)-(125, 28, 36)"	31.326504	151.515966	1.24079	543	301	#6dff7fffffffffffff93	7	"(120, 12, 57)-(122, 35, 51)"	0.979804	0.97328	2	1.683208512	0.294940748
"(125, 25, 38)-(125, 28, 36)"	3.28615	5.634891	0.738795	17	8	#6c00ff	6	"(122, 35, 51)-(125, 28, 36)"	0.595423	0.1049	2	NA	NA
"(125, 23, 37)-(125, 25, 38)"	2.061405	3.756594	0.761624	6	0	#ff0090	5	"(125, 25, 38)-(125, 28, 36)"	1.0309	0.627301	2	NA	NA
"(123, 21, 34)-(125, 23, 37)"	3.932729	9.391486	0.871857	28	13	#00ff1f	1	"(125, 23, 37)-(125, 25, 38)"	1.144734	1.907791	0	NA	NA
"(121, 12, 37)-(125, 23, 37)"	15.796411	48.835725	0.992007	123	45	#70ff7fffffffffffff90	4	"(125, 23, 37)-(125, 25, 38)"	1.302489	7.662935	2	NA	0.850657668
"(121, 12, 37)-(122, 16, 42)"	6.640714	21.913466	1.02488	83	48	#7aff7fffffffffffff86	2	"(121, 12, 37)-(125, 23, 37)"	1.033139	0.420394	2	NA	NA
"(122, 16, 42)-(123, 14, 44)"	3.891201	13.774179	1.061491	63	41	#c8ff7fffffffffffff38	1	"(121, 12, 37)-(122, 16, 42)"	1.035721	0.585961	0	NA	NA
"(119, 19, 34)-(122, 16, 42)"	13.677827	36.313744	0.919289	92	34	#e0ff7fffffffffffff20	1	"(121, 12, 37)-(122, 16, 42)"	0.896972	2.059692	0	NA	NA
"(121, 6, 37)-(121, 12, 37)"	7.348469	18.156872	0.886844	43	14	#a7ff7fffffffffffff59	2	"(121, 12, 37)-(125, 23, 37)"	0.89399	0.465199	2	NA	NA
"(119, 5, 39)-(121, 6, 37)"	3.891201	14.400278	1.085347	96	73	#ff000d	1	"(121, 6, 37)-(121, 12, 37)"	1.223831	0.529525	0	NA	NA
"(119, 0, 44)-(121, 6, 37)"	15.430894	53.844517	1.053902	310	224	#ff00e7	1	"(121, 6, 37)-(121, 12, 37)"	1.188374	2.099879	0	NA	NA
"(123, 22, 42)-(125, 25, 38)"	6.830794	22.539565	1.024855	77	41	#00ff83	1	"(125, 25, 38)-(125, 28, 36)"	1.387197	2.078662	0	NA	NA
"(123, 27, 34)-(125, 28, 36)"	2.707985	6.887089	0.899746	38	27	#09ff7ffffffffffffff7	1	"(122, 35, 51)-(125, 28, 36)"	0.725139	0.086444	0	NA	NA
"(119, 61, 46)-(122, 35, 51)"	55.658818	382.54651	1.479109	2357	1746	#00e9ff	1	"(120, 12, 57)-(122, 35, 51)"	1.167995	1.729258	0	NA	NA
"(119, 7, 56)-(120, 12, 57)"	4.82988	8.765386	0.76005	25	11	#ff00b6	1	"(120, 12, 57)-(124, 21, 61)"	0.60868	0.381694	0	NA	NA
"(114, 9, 63)-(116, 60, 61)"	58.647892	783.249891	2.061812	1739	488	#00ff6d	2	"(114, 73, 61)-(116, 60, 61)"	1.115392	3.974496	2	4.002208471	0.318630962
"(111, 10, 64)-(114, 9, 63)"	3.849672	13.14808	1.042664	22	1	#00feff	1	"(114, 9, 63)-(116, 60, 61)"	0.505703	0.06564	0	NA	NA
"(111, 5, 64)-(114, 9, 63)"	10.61929	137.115688	2.027313	429	210	#00ffec	1	"(114, 9, 63)-(116, 60, 61)"	0.983268	0.181069	0	NA	NA
"(114, 73, 61)-(116, 33, 36)"	162.866446	3282.011135	2.532674	12995	7753	#00ffaa	4	"(113, 64, 59)-(114, 73, 61)"	1.339555	14.606486	2	0.558640594	0.183972285
"(115, 32, 35)-(116, 33, 36)"	1.48324	1.252198	0.518389	2	0	#8300ff	3	"(114, 73, 61)-(116, 33, 36)"	0.204681	0.009107	2	NA	NA
"(115, 32, 35)-(117, 24, 37)"	9.36766	44.453031	1.229024	149	78	#00ff1a	2	"(115, 32, 35)-(116, 33, 36)"	2.370851	6.315675	2	NA	NA
"(117, 24, 37)-(119, 21, 39)"	3.891201	11.269783	0.960154	37	19	#08ff7ffffffffffffff8	1	"(115, 32, 35)-(117, 24, 37)"	0.781233	0.415387	0	NA	NA
"(115, 10, 42)-(117, 24, 37)"	24.110445	144.002778	1.378821	436	206	#f3ff7fffffffffffff0d	1	"(115, 32, 35)-(117, 24, 37)"	1.121883	2.573796	0	NA	NA
"(111, 35, 34)-(115, 32, 35)"	6.469595	28.800556	1.190384	146	100	#ff00e3	1	"(115, 32, 35)-(116, 33, 36)"	2.296313	4.3618	0	NA	NA
"(115, 29, 39)-(116, 33, 36)"	8.330272	25.043961	0.978244	101	61	#ff007c	1	"(114, 73, 61)-(116, 33, 36)"	0.386249	0.051148	0	NA	NA
"(107, 38, 54)-(109, 48, 60)"	17.800637	107.689034	1.387692	406	234	#0074ff	1	"(105, 47, 61)-(109, 48, 60)"	1.470982	3.312091	0	NA	NA
"(103, 20, 64)-(105, 47, 61)"	33.682829	180.316522	1.305385	668	380	#fff87ffffffffffffefb	1	"(105, 47, 61)-(106, 59, 60)"	1.068997	2.270472	0	NA	NA
"(103, 41, 54)-(106, 59, 60)"	25.825294	123.967609	1.236108	420	222	#32ff7fffffffffffffce	1	"(100, 70, 61)-(106, 59, 60)"	0.768026	1.122646	0	NA	NA
"(98, 30, 62)-(100, 70, 61)"	45.679049	609.820459	2.061425	1192	218	#0046ff	5	"(99, 103, 58)-(100, 70, 61)"	1.006919	1.032967	2	2.252604282	0.383409757
"(98, 20, 61)-(98, 30, 62)"	10.652895	118.332717	1.880371	224	35	#ff797ffffffffffffe7c	4	"(98, 30, 62)-(100, 70, 61)"	0.912171	0.233212	2	4.325647369	NA
"(98, 12, 62)-(98, 20, 61)"	9.07264	96.419251	1.839247	262	108	#00fff9	3	"(98, 20, 61)-(98, 30, 62)"	0.97813	0.85166	3	NA	NA
"(95, 16, 64)-(98, 12, 62)"	21.900489	92.662657	1.160514	275	127	#ff0055	1	"(98, 12, 62)-(98, 20, 61)"	0.630972	2.413905	0	NA	NA
"(95, 14, 64)-(98, 12, 62)"	3.891201	10.017585	0.905242	19	3	#ff00ac	1	"(98, 12, 62)-(98, 20, 61)"	0.492181	0.428894	0	NA	NA
"(92, 5, 58)-(98, 12, 62)"	13.753968	189.081908	2.091877	551	249	#f5ff7fffffffffffff0b	1	"(98, 12, 62)-(98, 20, 61)"	1.137355	1.515983	0	NA	NA
"(95, 35, 64)-(98, 20, 61)"	25.068771	92.036558	1.081032	244	97	#3600ff	1	"(98, 20, 61)-(98, 30, 62)"	0.574904	2.353236	0	NA	NA
"(95, 26, 64)-(98, 30, 62)"	4.986355	15.026377	0.979401	27	3	#c9ff7fffffffffffff37	1	"(98, 30, 62)-(100, 70, 61)"	0.475109	0.109161	0	NA	NA
"(99, 77, 49)-(99, 81, 53)"	4.898979	78.888478	2.264014	288	162	#0080ff	2	"(98, 58, 52)-(99, 81, 53)"	0.898672	0.194776	2	2.922576042	NA
"(99, 60, 42)-(99, 77, 49)"	21.159519	191.586304	1.697674	1257	951	#5000ff	1	"(99, 77, 49)-(99, 81, 53)"	0.749852	4.319169	0	NA	NA
"(95, 67, 42)-(99, 77, 49)"	15.672412	171.551135	1.866612	1318	1044	#13ff7fffffffffffffed	1	"(99, 77, 49)-(99, 81, 53)"	0.82447	3.199118	0	NA	NA
"(98, 38, 48)-(98, 58, 52)"	26.054503	343.72837	2.049233	1127	578	#af00ff	15	"(98, 46, 56)-(98, 58, 52)"	1.048582	1.751953	2	1.733112355	0.513974264
"(98, 36, 48)-(98, 38, 48)"	2.966479	15.026377	1.269789	31	7	#ff5b7ffffffffffffe5e	14	"(98, 38, 48)-(98, 58, 52)"	0.619641	0.113857	2	NA	NA
"(98, 36, 48)-(100, 19, 49)"	22.975312	289.257754	2.001875	772	310	#00ff03	13	"(98, 36, 48)-(98, 38, 48)"	1.576541	7.744976	2	1.906326298	0.514595636
"(100, 19, 49)-(100, 24, 42)"	10.185359	43.826932	1.170328	240	170	#c7ff7fffffffffffff39	6	"(98, 36, 48)-(100, 19, 49)"	0.584616	0.443318	2	10.14804972	NA
"(100, 24, 42)-(100, 27, 42)"	3.803139	14.400278	1.097841	68	45	#b2ff7fffffffffffff4e	2	"(100, 19, 49)-(100, 24, 42)"	0.938063	0.373393	2	NA	NA
"(99, 32, 39)-(100, 27, 42)"	7.88442	57.601111	1.52495	411	319	#ff317ffffffffffffe34	1	"(100, 24, 42)-(100, 27, 42)"	1.389045	2.073135	0	NA	NA
"(99, 28, 42)-(100, 27, 42)"	1.183216	1.252198	0.580403	2	0	#ff5f7ffffffffffffe62	1	"(100, 24, 42)-(100, 27, 42)"	0.528677	0.311116	0	NA	NA
"(100, 18, 35)-(100, 24, 42)"	11.11008	41.322536	1.088078	154	88	#ff677ffffffffffffe6a	4	"(100, 19, 49)-(100, 24, 42)"	0.929721	1.090789	2	NA	NA
"(100, 18, 35)-(103, 0, 40)"	29.343963	165.916244	1.34156	494	229	#56ff7fffffffffffffaa	1	"(100, 18, 35)-(100, 24, 42)"	1.232963	2.641202	0	NA	NA
"(93, 25, 36)-(100, 18, 35)"	12.436159	53.218418	1.167113	147	62	#0092ff	3	"(100, 18, 35)-(100, 24, 42)"	1.072637	1.119358	2	NA	NA
"(92, 13, 39)-(93, 25, 36)"	16.757658	50.714022	0.981482	175	94	#ff8f7ffffffffffffe92	2	"(93, 25, 36)-(100, 18, 35)"	0.840949	1.347495	2	NA	0.521465448
"(91, 12, 39)-(92, 13, 39)"	1.183216	1.252198	0.580403	2	0	#9eff7fffffffffffff62	1	"(92, 13, 39)-(93, 25, 36)"	0.591353	0.070607	0	NA	NA
"(91, 10, 39)-(92, 13, 39)"	9.62684	40.070338	1.151051	150	86	#0079ff	1	"(92, 13, 39)-(93, 25, 36)"	1.172768	0.574474	0	NA	NA
"(87, 21, 39)-(93, 25, 36)"	22.514539	153.394263	1.472645	820	575	#ff005e	1	"(93, 25, 36)-(100, 18, 35)"	1.261784	1.810409	0	NA	NA
"(99, 16, 49)-(100, 19, 49)"	2.856536	22.539565	1.584813	69	33	#0078ff	7	"(98, 36, 48)-(100, 19, 49)"	0.791664	0.124331	2	NA	NA
"(95, 8, 52)-(99, 16, 49)"	15.605646	267.344287	2.335176	857	430	#ff057ffffffffffffe08	1	"(99, 16, 49)-(100, 19, 49)"	1.473471	5.463136	0	NA	NA
"(93, 17, 51)-(99, 16, 49)"	7.347784	48.209626	1.445153	157	80	#7aff7fffffffffffff86	6	"(99, 16, 49)-(100, 19, 49)"	0.911876	2.572271	2	5.622338906	NA
"(91, 21, 54)-(93, 17, 51)"	10.965846	55.722814	1.271805	209	120	#0097ff	1	"(93, 17, 51)-(99, 16, 49)"	0.880049	1.492402	0	NA	NA
"(89, 10, 52)-(93, 17, 51)"	8.230976	42.574734	1.283144	151	83	#b5ff7fffffffffffff4b	5	"(93, 17, 51)-(99, 16, 49)"	0.887895	1.120198	2	2.022072567	NA
"(89, 10, 52)-(90, 3, 51)"	8.489471	26.296159	0.992958	111	69	#ff857ffffffffffffe88	4	"(89, 10, 52)-(93, 17, 51)"	0.773848	1.031405	2	NA	1.040774278
"(89, 2, 52)-(90, 3, 51)"	1.48324	1.252198	0.518389	2	0	#00ff88	2	"(89, 10, 52)-(90, 3, 51)"	0.522066	0.174715	2	NA	NA
"(87, 6, 60)-(89, 2, 52)"	13.804009	48.835725	1.061185	139	61	#ff00bc	1	"(89, 2, 52)-(90, 3, 51)"	2.047083	9.306661	0	NA	NA
"(87, 3, 52)-(89, 2, 52)"	2.019876	13.14808	1.439441	91	70	#ff0026	1	"(89, 2, 52)-(90, 3, 51)"	2.776758	1.3618	0	NA	NA
"(88, 4, 46)-(90, 3, 51)"	7.157704	31.304952	1.179899	142	92	#00ff63	2	"(89, 10, 52)-(90, 3, 51)"	1.188266	0.843127	2	2.700469062	NA
"(87, 6, 47)-(88, 4, 46)"	7.157704	25.67006	1.068444	96	55	#0057ff	1	"(88, 4, 46)-(90, 3, 51)"	0.905539	1	0	NA	NA
"(87, 4, 46)-(88, 4, 46)"	0.83666	1.252198	0.690219	2	0	#0600ff	1	"(88, 4, 46)-(90, 3, 51)"	0.584982	0.116889	0	NA	NA
"(87, 10, 51)-(89, 10, 52)"	2.666456	5.634891	0.820164	21	12	#a300ff	1	"(89, 10, 52)-(93, 17, 51)"	0.639183	0.323954	0	NA	NA
"(95, 34, 46)-(98, 36, 48)"	3.891201	14.400278	1.085347	68	45	#00ff07	1	"(98, 36, 48)-(98, 38, 48)"	0.854746	1.311723	0	NA	NA
"(95, 38, 39)-(98, 38, 48)"	12.046036	82.018973	1.472177	481	350	#0042ff	1	"(98, 38, 48)-(98, 58, 52)"	0.718404	0.46234	0	NA	NA
"(95, 31, 54)-(98, 46, 56)"	22.82521	207.864879	1.702583	438	106	#00ddff	1	"(93, 47, 59)-(98, 46, 56)"	1.145425	3.124064	0	NA	NA
"(91, 37, 54)-(93, 47, 59)"	26.426937	184.699215	1.491537	708	413	#cbff7fffffffffffff35	1	"(89, 17, 60)-(93, 47, 59)"	1.096518	0.732396	0	NA	NA
"(87, 8, 64)-(89, 17, 60)"	11.646716	58.853309	1.268261	127	33	#00ffe2	1	"(89, 17, 59)-(89, 17, 60)"	1.899852	13.021424	0	NA	NA
"(87, 21, 54)-(89, 17, 59)"	11.517126	45.07913	1.116197	149	77	#ffd57ffffffffffffed8	1	"(82, 17, 56)-(89, 17, 59)"	0.704395	1.209257	0	NA	NA
"(79, 14, 54)-(82, 17, 56)"	4.149695	24.417862	1.368582	66	27	#ff004c	1	"(82, 17, 56)-(83, 20, 55)"	0.948144	1.314626	0	NA	NA
"(81, 52, 61)-(82, 22, 62)"	35.655854	475.835266	2.061047	1075	315	#c0ff7fffffffffffff40	3	"(76, 49, 59)-(81, 52, 61)"	1.325427	5.476144	2	3.515176826	0.674381473
"(79, 20, 64)-(82, 22, 62)"	3.803139	16.278575	1.167245	35	9	#0010ff	1	"(81, 52, 61)-(82, 22, 62)"	0.566336	0.106662	0	NA	NA
"(78, 5, 60)-(82, 22, 62)"	24.617795	302.405833	1.977405	609	126	#ff007a	2	"(81, 52, 61)-(82, 22, 62)"	0.959417	0.690428	2	0.853103171	0.731168756
"(77, 0, 60)-(78, 5, 60)"	14.558739	38.81814	0.921256	122	60	#00ff9f	1	"(78, 5, 60)-(82, 22, 62)"	0.465892	0.591391	0	NA	NA
"(75, 3, 62)-(78, 5, 60)"	5.157474	11.269783	0.833997	50	32	#00ffbe	1	"(78, 5, 60)-(82, 22, 62)"	0.421763	0.209502	0	NA	NA
"(76, 20, 52)-(76, 49, 59)"	49.748527	272.979179	1.321599	949	513	#ff3f7ffffffffffffe42	4	"(75, 49, 58)-(76, 49, 59)"	2.316653	40.619502	2	2.559524867	0.427037851
"(76, 1, 48)-(76, 20, 52)"	24.829436	115.202222	1.215268	456	272	#ff00cd	2	"(76, 20, 52)-(76, 49, 59)"	0.919544	0.499099	2	8.069132769	0.87908251
"(75, 5, 46)-(76, 1, 48)"	5.674464	21.913466	1.108711	86	51	#ff00aa	1	"(76, 1, 48)-(76, 20, 52)"	0.912318	0.228538	0	NA	NA
"(71, 0, 40)-(76, 1, 48)"	17.271239	68.244795	1.121497	249	140	#ff00b5	1	"(76, 1, 48)-(76, 20, 52)"	0.922839	0.695595	0	NA	NA
"(74, 20, 51)-(76, 20, 52)"	2.061405	3.130495	0.695264	5	0	#2c00ff	2	"(76, 20, 52)-(76, 49, 59)"	0.526078	0.041437	2	NA	NA
"(71, 24, 54)-(74, 20, 51)"	8.319037	40.696437	1.247862	141	76	#ff006e	1	"(74, 20, 51)-(76, 20, 52)"	1.794803	4.035615	0	NA	NA
"(71, 10, 64)-(74, 20, 51)"	27.40783	127.098104	1.214947	445	242	#ff307ffffffffffffe33	1	"(74, 20, 51)-(76, 20, 52)"	1.74746	13.295704	0	NA	NA
"(71, 51, 46)-(75, 49, 58)"	23.403375	160.281353	1.476479	918	662	#ff0074	1	"(69, 41, 61)-(75, 49, 58)"	0.993003	1.500698	0	NA	NA
"(67, 39, 62)-(69, 41, 61)"	2.666456	11.895882	1.191671	22	3	#ffe07ffffffffffffee3	75	"(67, 84, 58)-(69, 41, 61)"	0.520303	0.050675	2	NA	NA
"(67, 19, 62)-(67, 39, 62)"	24.859411	308.040725	1.98602	662	170	#ff001b	3	"(67, 39, 62)-(69, 41, 61)"	1.666585	9.323017	2	0.80254566	0.321794298
"(66, 18, 61)-(67, 19, 62)"	1.48324	1.252198	0.518389	2	0	#0073ff	2	"(67, 19, 62)-(67, 39, 62)"	0.261019	0.059665	2	NA	NA
"(63, 20, 57)-(66, 18, 61)"	6.34069	34.435447	1.3148	152	97	#b4ff7fffffffffffff4c	1	"(66, 18, 61)-(67, 19, 62)"	2.536318	4.274893	0	NA	NA
"(63, 14, 60)-(66, 18, 61)"	13.673831	149.01157	1.862473	453	215	#ed00ff	1	"(66, 18, 61)-(67, 19, 62)"	3.592808	9.218895	0	NA	NA
"(63, 16, 64)-(67, 19, 62)"	4.986355	21.913466	1.182739	37	2	#ff00e7	1	"(67, 19, 62)-(67, 39, 62)"	0.595532	0.200582	0	NA	NA
"(63, 42, 58)-(67, 39, 62)"	6.34069	34.435447	1.3148	68	13	#b700ff	72	"(67, 39, 62)-(69, 41, 61)"	1.103325	2.377947	2	NA	NA
"(60, 47, 61)-(63, 42, 58)"	7.477374	48.209626	1.432575	108	31	#00ff46	71	"(63, 42, 58)-(67, 39, 62)"	1.089577	1.179268	2	NA	NA
"(55, 41, 54)-(60, 47, 61)"	17.879699	153.394263	1.652531	530	285	#7dff7fffffffffffff83	1	"(60, 47, 61)-(63, 42, 58)"	1.153539	2.391173	0	NA	NA
"(52, 64, 61)-(60, 47, 61)"	29.006017	249.187415	1.653652	833	435	#ff0068	70	"(60, 47, 61)-(63, 42, 58)"	1.154321	3.879172	2	NA	NA
"(51, 97, 58)-(52, 64, 61)"	44.479151	668.047669	2.186505	1893	826	#f700ff	9	"(52, 64, 61)-(60, 47, 61)"	1.322228	1.533446	2	NA	NA
"(51, 97, 58)-(59, 35, 42)"	149.953332	2318.444722	2.218428	13366	9663	#69ff7fffffffffffff97	1	"(51, 97, 58)-(52, 64, 61)"	1.0146	3.371317	0	NA	NA
"(51, 55, 49)-(51, 97, 58)"	50.994047	1275.989831	2.822207	3725	1687	#a200ff	8	"(51, 97, 58)-(52, 64, 61)"	1.290739	1.146471	2	1.386363935	0.674658738
"(51, 55, 49)-(55, 45, 42)"	17.956427	90.78436	1.268588	388	243	#00c8ff	1	"(51, 55, 49)-(51, 97, 58)"	0.449502	0.352128	0	NA	NA
"(51, 55, 49)-(52, 40, 48)"	18.550243	260.457198	2.114066	657	241	#d0ff7fffffffffffff30	7	"(51, 55, 49)-(51, 97, 58)"	0.749082	0.363773	2	3.045084596	NA
"(51, 6, 35)-(52, 40, 48)"	55.482699	319.936606	1.35481	867	356	#ff157ffffffffffffe18	2	"(51, 55, 49)-(52, 40, 48)"	0.640855	2.990942	2	1.224965254	0.22505909
"(51, 5, 34)-(51, 6, 35)"	1.224745	1.252198	0.570478	2	0	#00ff97	1	"(51, 6, 35)-(52, 40, 48)"	0.421076	0.022074	0	NA	NA
"(48, 8, 34)-(51, 6, 35)"	4.785628	13.774179	0.957169	39	17	#00a5ff	1	"(51, 6, 35)-(52, 40, 48)"	0.706497	0.086254	0	NA	NA
"(50, 30, 49)-(52, 40, 48)"	12.639166	145.881075	1.916749	379	146	#3b00ff	5	"(51, 55, 49)-(52, 40, 48)"	0.906665	0.681348	2	4.83748366	NA
"(50, 30, 49)-(53, 24, 48)"	7.652811	83.897271	1.86805	228	94	#0003ff	4	"(50, 30, 49)-(52, 40, 48)"	0.974593	0.605484	2	2.765399256	NA
"(51, 23, 39)-(53, 24, 48)"	13.239899	55.722814	1.157442	266	177	#00ffb3	1	"(50, 30, 49)-(53, 24, 48)"	0.619599	1.73007	0	NA	NA
"(50, 20, 48)-(53, 24, 48)"	6.85768	60.105507	1.670297	195	99	#ffc67ffffffffffffec9	3	"(50, 30, 49)-(53, 24, 48)"	0.894139	0.896099	2	4.531036551	NA
"(50, 20, 48)-(51, 15, 49)"	6.816151	53.844517	1.585719	139	53	#2900ff	2	"(50, 20, 48)-(53, 24, 48)"	0.949364	0.993944	2	NA	NA
"(48, 0, 58)-(51, 15, 49)"	23.961209	304.910229	2.012596	782	295	#4cff7fffffffffffffb4	1	"(50, 20, 48)-(51, 15, 49)"	1.269201	3.515358	0	NA	NA
"(47, 7, 42)-(51, 15, 49)"	13.327275	77.010181	1.356215	227	104	#ff0010	1	"(50, 20, 48)-(51, 15, 49)"	0.855268	1.955249	0	NA	NA
"(47, 21, 44)-(50, 20, 48)"	7.116175	31.304952	1.183337	107	57	#00fff5	1	"(50, 20, 48)-(53, 24, 48)"	0.708459	1.037694	0	NA	NA
"(47, 23, 34)-(50, 30, 49)"	35.817067	170.298937	1.230229	596	324	#0086ff	1	"(50, 30, 49)-(52, 40, 48)"	0.641831	2.833816	0	NA	NA
"(50, 46, 61)-(52, 64, 61)"	22.218789	296.144843	2.059762	645	172	#8900ff	61	"(52, 64, 61)-(60, 47, 61)"	1.245584	0.766006	2	4.415424082	NA
"(50, 46, 61)-(51, 24, 61)"	27.38627	321.814903	1.934023	719	205	#0076ff	3	"(50, 46, 61)-(52, 64, 61)"	0.938955	1.232573	2	7.318723414	1.002702986
"(47, 13, 64)-(51, 24, 61)"	14.225111	162.15965	1.904884	429	170	#19ff7fffffffffffffe7	1	"(50, 46, 61)-(51, 24, 61)"	0.984934	0.519425	0	NA	NA
"(46, 15, 60)-(51, 24, 61)"	13.212328	83.897271	1.421704	339	205	#ff00e8	2	"(50, 46, 61)-(51, 24, 61)"	0.735102	0.482444	2	9.273468663	NA
"(46, 15, 60)-(47, 2, 62)"	16.456949	80.766775	1.249876	291	162	#00feff	1	"(46, 15, 60)-(51, 24, 61)"	0.879139	1.245575	0	NA	NA
"(43, 9, 46)-(46, 15, 60)"	26.11136	153.394263	1.367461	551	306	#ff0076	1	"(46, 15, 60)-(51, 24, 61)"	0.961846	1.976288	0	NA	NA
"(41, 42, 60)-(50, 46, 61)"	32.108805	225.395652	1.494809	693	333	#ff717ffffffffffffe74	58	"(50, 46, 61)-(52, 64, 61)"	0.72572	1.445119	2	3.048213276	0.942917692
"(41, 42, 60)-(43, 27, 54)"	24.783911	126.472005	1.274493	461	259	#cdff7fffffffffffff33	1	"(41, 42, 60)-(50, 46, 61)"	0.852612	0.771873	0	NA	NA
"(41, 42, 60)-(41, 47, 60)"	6.34069	23.791763	1.092874	44	6	#9eff7fffffffffffff62	57	"(41, 42, 60)-(50, 46, 61)"	0.731113	0.197475	2	NA	NA
"(41, 47, 60)-(43, 38, 39)"	51.124547	293.640447	1.352129	1450	981	#ff001b	1	"(41, 42, 60)-(41, 47, 60)"	1.237223	8.062931	0	NA	NA
"(35, 50, 62)-(41, 47, 60)"	10.98049	73.253587	1.457232	241	124	#94ff7fffffffffffff6c	56	"(41, 42, 60)-(41, 47, 60)"	1.333394	1.73175	3	NA	NA
"(35, 29, 62)-(35, 50, 62)"	25.509942	315.553913	1.984299	731	227	#e0ff7fffffffffffff20	3	"(35, 50, 62)-(41, 47, 60)"	1.361691	2.323206	2	8.770192248	NA
"(35, 6, 62)-(35, 29, 62)"	26.666272	325.571498	1.971365	963	443	#7a00ff	2	"(35, 29, 62)-(35, 50, 62)"	0.993482	1.045329	2	1.630763501	NA
"(35, 6, 62)-(43, 7, 39)"	44.383139	266.092089	1.38144	870	445	#acff7fffffffffffff54	1	"(35, 6, 62)-(35, 29, 62)"	0.700753	1.664392	0	NA	NA
"(31, 8, 64)-(35, 6, 62)"	5.332911	23.791763	1.191671	60	22	#00ceff	1	"(35, 6, 62)-(35, 29, 62)"	0.60449	0.199987	0	NA	NA
"(31, 28, 64)-(35, 29, 62)"	4.986355	31.931051	1.42771	162	111	#00ffa3	1	"(35, 29, 62)-(35, 50, 62)"	0.719504	0.195467	0	NA	NA
"(34, 66, 61)-(35, 50, 62)"	19.898889	227.273949	1.906714	488	125	#007aff	15	"(35, 50, 62)-(41, 47, 60)"	1.308449	1.812204	2	NA	NA
"(34, 66, 61)-(35, 62, 55)"	7.452671	104.558539	2.11324	308	141	#5600ff	13	"(34, 66, 61)-(35, 50, 62)"	1.108315	0.374527	2	NA	NA
"(35, 62, 55)-(36, 23, 48)"	48.717549	846.485894	2.351756	2205	853	#00ffeb	9	"(34, 66, 61)-(35, 62, 55)"	1.112867	6.536925	2	2.307423013	0.515094443
"(36, 23, 48)-(36, 29, 36)"	15.659095	65.1143	1.150482	231	127	#ff0c7ffffffffffffe0f	4	"(35, 62, 55)-(36, 23, 48)"	0.489201	0.321426	2	NA	0.487169779
"(36, 29, 36)-(37, 28, 36)"	1.183216	1.252198	0.580403	2	0	#00ffbc	2	"(36, 23, 48)-(36, 29, 36)"	0.504487	0.075561	2	NA	NA
"(37, 28, 36)-(39, 21, 34)"	12.163706	45.705229	1.093642	208	135	#4900ff	1	"(36, 29, 36)-(37, 28, 36)"	1.88428	10.280208	0	NA	NA
"(31, 17, 42)-(37, 28, 36)"	22.840763	103.93244	1.203498	292	126	#b2ff7fffffffffffff4e	1	"(36, 29, 36)-(37, 28, 36)"	2.073556	19.303968	0	NA	NA
"(35, 36, 35)-(36, 29, 36)"	7.88442	36.939843	1.221203	90	31	#b700ff	2	"(36, 23, 48)-(36, 29, 36)"	1.06147	0.503504	2	NA	NA
"(35, 36, 35)-(39, 31, 34)"	6.557656	15.652476	0.87165	33	8	#00ff96	1	"(35, 36, 35)-(36, 29, 36)"	0.713764	0.831723	0	NA	NA
"(35, 32, 42)-(35, 36, 35)"	14.076559	68.244795	1.242257	294	185	#00fff3	1	"(35, 36, 35)-(36, 29, 36)"	1.017241	1.785364	0	NA	NA
"(35, 15, 49)-(36, 23, 48)"	10.01424	144.628877	2.144093	347	116	#00fff5	5	"(35, 62, 55)-(36, 23, 48)"	0.911699	0.205557	2	3.570555517	NA
"(35, 15, 49)-(37, 3, 48)"	16.959981	219.760761	2.030895	531	180	#fd00ff	4	"(35, 15, 49)-(36, 23, 48)"	0.947205	1.693586	2	0.83906436	0.607860084
"(37, 3, 48)-(39, 5, 47)"	2.666456	5.634891	0.820164	13	4	#4400ff	3	"(35, 15, 49)-(37, 3, 48)"	0.403844	0.15722	2	NA	NA
"(39, 5, 47)-(40, 6, 44)"	6.816151	25.67006	1.094886	78	37	#08ff7ffffffffffffff8	2	"(37, 3, 48)-(39, 5, 47)"	1.33496	2.556259	2	NA	0.598428936
"(39, 6, 44)-(40, 6, 44)"	0.83666	1.252198	0.690219	2	0	#ffb47ffffffffffffeb7	1	"(39, 5, 47)-(40, 6, 44)"	0.630403	0.122747	0	NA	NA
"(39, 4, 42)-(40, 6, 44)"	3.891201	15.652476	1.131553	62	37	#d700ff	1	"(39, 5, 47)-(40, 6, 44)"	1.033489	0.570879	0	NA	NA
"(39, 1, 42)-(39, 5, 47)"	8.66059	17.530773	0.802697	65	37	#ff00f9	1	"(37, 3, 48)-(39, 5, 47)"	0.978704	3.247978	0	NA	NA
"(35, 3, 44)-(37, 3, 48)"	8.888791	25.67006	0.958776	83	42	#ff006e	1	"(35, 15, 49)-(37, 3, 48)"	0.472095	0.524104	0	NA	NA
"(35, 9, 39)-(35, 15, 49)"	14.909811	81.392874	1.318203	374	244	#ff727ffffffffffffe75	1	"(35, 15, 49)-(36, 23, 48)"	0.614807	1.488861	0	NA	NA
"(35, 62, 55)-(35, 124, 62)"	72.052675	2276.496087	3.171272	7445	3809	#2f00ff	4	"(34, 66, 61)-(35, 62, 55)"	1.500668	9.668034	2	0.724937766	0.243303959
