 name	 vol(cu.um)	 len(um)	 <r>_vl(um)	 <r>_obs(um)	 par	 num_child	 children...		
12.02	561.344	16.2888	3.31203	5.02697	N/A	2	11.02	13.02	
11.02	147.392	2.54558	4.29307	3.30614	12	3	7.02	9.02	10.02
7.02	191.296	7.2172	2.90465	2.40866	11	3	2.02	5.02	6.02
2.02	21.952	0.5	3.73833	1.38656	7	2	0.02	1.02	
0.02	1124.26	37.6273	3.08394	4.41808	2	0			
1.02	106.624	20.4296	1.28891	1.21686	2	2	3.02	4.02	
3.02	25.088	3.72603	1.46398	0.947487	1	1	8.02		
8.02	12.544	4.25206	0.969044	0.35	3	0			
4.02	15.68	3.52603	1.18975	0.56	1	0			
5.02	58.016	8.39764	1.48293	1.75624	7	0			
6.02	147.392	18.9947	1.57161	1.44288	7	0			
9.02	172.48	10.5971	2.27615	2.51276	11	0			
10.02	216.384	20.0687	1.85258	2.00946	11	0			
13.02	1257.54	78.4308	2.25913	2.50231	12	0			
6.03	332.416	9.90412	3.26857	3.31752	N/A	2	2.03	5.03	
2.03	59.584	0.5	6.15892	3.79192	6	2	1.03	0.03	
1.03	357.504	8.39764	3.68118	2.6856	2	2	3.03	4.03	
3.03	365.344	12.8835	3.00441	3.43817	1	2	7.03	8.03	
7.03	332.416	17.4344	2.46356	2.07956	3	3	9.03	10.03	11.03
9.03	34.496	7.3397	1.22312	1.36672	7	0			
10.03	94.08	16.551	1.34512	1.59531	7	0			
11.03	12.544	3.3799	1.0869	0.35	7	0			
8.03	123.872	5.09117	2.78293	1.99772	3	2	12.03	13.03	
12.03	247.744	23.0468	1.84979	2.16342	8	0			
13.03	103.488	10.1775	1.79907	1.6815	8	0			
4.03	112.896	9.57809	1.93698	1.63575	1	0			
0.03	348.096	20.1947	2.34237	2.30036	2	0			
5.03	370.048	12.3976	3.08237	2.60087	6	0			
8.04	316.736	13.4888	2.73393	7.32938	N/A	2	7.04	5.04	
7.04	72.128	2.54558	3.00319	4.07454	8	0			
5.04	1122.69	35.2817	3.18258	3.75315	8	2	3.04	6.04	
3.04	122.304	4.25206	3.02584	2.03953	5	2	1.04	4.04	
1.04	636.608	26.1771	2.78228	2.55447	3	2	2.04	0.04	
2.04	64.288	7.07107	1.70117	1.74058	1	0			
0.04	70.56	24.9652	0.948498	1.12037	1	0			
4.04	917.28	40.4273	2.68744	2.73083	3	0			
6.04	261.856	14.1279	2.42894	2.47393	5	2	9.04	10.04	
9.04	75.264	19.8148	1.09957	1.24258	6	0			
10.04	43.904	6.79764	1.43383	1.24835	6	0			
6.5	545.664	32.1657	2.32376	2.69316	N/A	2	5.5	3.5	
5.5	15.1573	2.54558	1.37671	1.26737	6	2	4.5	7.5	
4.5	209.589	24.1735	1.66127	1.65237	5	1	1.5		
1.5	156.8	11.3231	2.0995	1.95373	4	2	0.5	2.5	
0.5	382.592	25.5593	2.18282	2.11968	1	0			
2.5	47.04	6.07161	1.57039	1.65046	1	0			
7.5	18.2933	1.9799	1.71494	1.52228	5	0			
3.5	20.384	0.5	3.60234	1.45651	6	0			
2.6	8802.75	133.8	4.57621	5.46641	N/A	2	0.6	1.6	
0.6	62.72	13.8451	1.20083	0.971598	2	0			
1.6	241.472	19.1574	2.00304	1.64633	2	0			
0.7	48966.5	944.246	4.06286	18.5001	N/A	2	1.7	2.7	
1.7	1.04533	0.5	0.815769	0	0	0			
2.7	19.8613	9.34323	0.822585	0.4	0	0			
1.8	7.07854e-314	0.5	2.12E-157	3.11E+231	N/A	0			
1.9	9.74E+231	0.5	7.87E+115	3.11E+231	N/A	0			
2	9.74E+231	0.5	7.87E+115	3.11E+231	N/A	0			
2.1	9.74E+231	0.5	7.87E+115	3.11E+231	N/A	0			
2.2	9.74E+231	0.5	7.87E+115	3.11E+231	N/A	0			
