 name	 vol(cu.um)	 len(um)	 <r>_vl(um)	 <r>_obs(um)	 par	 num_child	 children...		
31.001	16073.6	115.006	6.66993	5.96903	nan	2	30.001	24.001	
30.001	1572.7	16.6877	5.47709	4.65597	31	2	40.001	41.001	
40.001	804.384	7.07107	6.01747	4.42224	30	2	46.001	47.001	
46.001	2165.41	68.3486	3.17563	4.06497	40	0			
47.001	2115.23	17.8473	6.14211	5.67575	40	2	53.001	54.001	
53.001	4672.64	54.4518	5.22637	4.77277	47	2	61.001	62.001	
61.001	1031.74	24.5741	3.65571	2.96726	53	2	73.001	74.001	
73.001	528.416	9.87107	4.12792	3.08553	61	2	88.001	89.001	
88.001	323.008	17.2148	2.44388	2.11969	73	2	99.001	100.001	
99.001	100.352	16.8148	1.37829	1.2309	88	0			
100.001	37.632	8.77754	1.1682	0.881658	88	0			
89.001	432.768	17.409	2.81298	2.60405	73	2	82.001	96.001	
82.001	90.944	2.12603	3.69001	1.90955	89	2	81.001	67.001	
81.001	169.344	10.5781	2.25739	1.51461	82	2	94.001	95.001	
94.001	125.44	25.3706	1.25452	0.988447	81	0			
95.001	216.384	34.5344	1.41225	1.09899	81	0			
67.001	906.304	51.1469	2.37494	2.31591	82	2	57.001	68.001	
57.001	597.408	9.76278	4.4134	3.53818	67	2	51.001	58.001	
51.001	1949.02	15.2451	6.37924	5.52124	57	3	50.001	45.001	52.001
50.001	1489.6	48.9222	3.1132	3.41493	51	0			
45.001	10261	89.3213	6.04703	8.98115	51	2	39.001	44.001	
39.001	442.176	10.5971	3.64443	3.64382	45	2	38.001	28.001	
38.001	25.088	4.67161	1.30745	2.05894	39	0			
28.001	147.392	11.5966	2.0114	2.66439	39	2	22.001	29.001	
22.001	2645.22	42.8788	4.43133	5.02819	28	2	23.001	18.001	
23.001	1550.75	24.0859	4.52704	5.25616	22	0			
18.001	3112.48	45.615	4.66041	4.73663	22	2	14.001	19.001	
14.001	1103.87	47.9688	2.70648	2.4384	18	2	10.001	15.001	
10.001	1216.77	105.635	1.91481	1.54015	14	2	6.001	9.001	
6.001	962.752	82.9652	1.92192	2.21222	10	2	4.001	5.001	
4.001	47.04	6.27161	1.54514	1.21412	6	2	3.001	1.001	
3.001	40.768	10.5971	1.1066	0.8	4	0			
1.001	208.544	32.6635	1.42558	1.3341	4	2	0.001	2.001	
0.001	696.192	45.2001	2.21422	2.09395	1	0			
2.001	10.976	1.4	1.57973	0.881507	1	0			
5.001	545.664	52.7635	1.81435	1.61857	6	2	7.001	8.001	
7.001	25.088	4.52548	1.32839	0.955556	5	1	11.001		
11.001	47.04	6.49117	1.51879	1.06667	7	2	16.001	17.001	
16.001	141.12	37.754	1.09078	0.761157	11	0			
17.001	51.744	17.1231	0.980762	0.576471	11	2	20.001	21.001	
20.001	206.976	49.8458	1.14966	0.983891	17	0			
21.001	51.744	19.0296	0.930337	0.528229	17	2	26.001	27.001	
26.001	1541.34	160.018	1.75102	1.36376	21	2	34.001	35.001	
34.001	366.912	72.708	1.2674	1.2078	26	0			
35.001	1216.77	119.154	1.80291	1.46741	26	0			
27.001	70.56	18.3373	1.10672	0.73913	21	2	36.001	37.001	
36.001	37.632	5.92548	1.42181	1.14297	27	2	42.001	43.001	
42.001	40.768	10.1775	1.12918	0.994679	36	0			
43.001	125.44	39.628	1.00379	0.850283	36	0			
37.001	31.36	3.94558	1.59059	2.11433	27	0			
8.001	247.744	25.8669	1.74604	1.28158	5	0			
9.001	189.205	39.654	1.23239	1.16033	10	2	12.001	13.001	
12.001	73.1733	30.028	0.880721	0.416667	9	0			
13.001	1.04533	0.5	0.815769	0	9	0			
15.001	1223.04	78.4974	2.22699	1.8282	14	0			
19.001	4846.69	26.3723	7.64846	6.62698	18	1	25.001		
25.001	1048.99	37.8291	2.97097	2.73949	19	2	32.001	33.001	
32.001	42.336	8.7397	1.24174	0.973711	25	0			
33.001	230.496	27.0628	1.64653	1.3226	25	0			
29.001	156.8	11.1628	2.11452	3.37567	28	0			
44.001	1417.47	18.6486	4.9188	4.89239	45	0			
52.001	2246.94	30.099	4.87467	4.89278	51	2	59.001	60.001	
59.001	332.416	7.90538	3.65851	2.88855	52	2	71.001	72.001	
71.001	344.96	7.9196	3.72356	2.93207	59	2	85.001	86.001	
85.001	357.504	37.5889	1.73995	2.08309	71	0			
86.001	18.816	0.5	3.46102	1.5933	71	2	97.001	98.001	
97.001	172.48	30.6079	1.3393	1.99683	86	0			
98.001	342.869	31.5084	1.86113	1.57496	86	2	101.001	102.001	
101.001	1.04533	0.5	0.815769	0	98	0			
102.001	19.8613	7.63675	0.909861	0.657143	98	0			
72.001	523.712	23.0658	2.68836	2.87719	59	2	75.001	87.001	
75.001	285.376	14.7971	2.47768	1.87408	72	2	64.001	76.001	
64.001	1176	13.2368	5.31787	4.30638	75	2	55.001	63.001	
55.001	1011.36	12.577	5.05929	3.92624	64	2	48.001	56.001	
48.001	56.448	0.5	5.99466	3.17069	55	1	49.001		
49.001	835.744	30.6267	2.94721	2.80088	48	0			
56.001	873.376	23.6829	3.42616	3.23834	55	2	65.001	66.001	
65.001	47.04	8.50412	1.32692	1.01065	56	2	77.001	78.001	
77.001	34.496	3.9598	1.66522	1.07273	65	2	92.001	93.001	
92.001	53.312	16.1971	1.02357	0.610582	77	0			
93.001	288.512	41.3511	1.49027	1.29436	77	0			
78.001	21.952	8.7397	0.894157	0.2	65	0			
66.001	50.176	5.65206	1.68101	1.09874	56	2	79.001	80.001	
79.001	37.632	14.6652	0.903774	0.35	66	0			
80.001	37.632	11.2853	1.03026	0.6	66	0			
63.001	344.96	20.9019	2.29201	2.87979	64	0			
76.001	429.632	19.7421	2.63194	2.68905	75	0			
87.001	181.888	17.7574	1.80566	1.34724	72	0			
60.001	3460.58	137.555	2.82984	3.1574	52	0			
58.001	1699.71	25.5167	4.60469	4.48036	57	2	69.001	70.001	
69.001	699.328	35.9108	2.48973	1.77253	58	2	83.001	84.001	
83.001	37.632	6.90593	1.31702	0.928799	69	0			
84.001	319.872	39.0363	1.61502	1.37993	69	0			
70.001	526.848	51.708	1.8009	2.74808	58	0			
68.001	896.896	37.931	2.74346	2.94145	67	0			
96.001	294.784	27.9304	1.8329	1.51167	89	0			
74.001	352.8	24.7202	2.13139	2.23355	61	2	90.001	91.001	
90.001	25.088	7.63675	1.0226	0.725	74	0			
91.001	15.68	5.6	0.94407	0	74	0			
62.001	586.432	48.4316	1.96322	1.92561	53	0			
54.001	5321.79	61.2215	5.2602	5.77562	47	0			
41.001	172.48	0.5	10.4787	4.43261	30	0			
24.001	5731.04	27.3575	8.16589	6.92234	31	0			
21.02	8534.62	97.5518	5.27715	6.46095	N/A	2	18.02	22.02	
