tag	name	len	vol	rad	voxc	defc	col	tips	parent	beta	gamma	nchild	q	s
patient13.gd	(113, 251, 25)-(116, 268, 39)	32.856203	4834.490087	6.843712	2943	213	#00ff83	146	NA	NA	NA	2	0.855477333895	NA
patient13.gd	(113, 251, 25)-(116, 219, 28)	53.181831	1205.966208	2.686649	907	226	#ff427ffffffffffffe45	4	(113, 251, 25)-(116, 268, 39)	0.392572	1.618624	2	1.4792492084	NA
patient13.gd	(116, 219, 28)-(120, 213, 28)	9.059712	115.106907	2.011030	69	4	#ff00b6	3	(113, 251, 25)-(116, 219, 28)	0.748527	0.170354	2	0.756017583282	0.735269571772
patient13.gd	(120, 213, 28)-(121, 212, 29)	2.097618	3.541751	0.733113	2	0	#6dff7fffffffffffff93	2	(116, 219, 28)-(120, 213, 28)	0.364546	0.231532	2	NA	NA
patient13.gd	(121, 212, 29)-(184, 232, 25)	94.717987	1239.612843	2.041042	702	2	#6c00ff	1	(120, 213, 28)-(121, 212, 29)	2.784075	45.155029	0	NA	NA
patient13.gd	(120, 209, 31)-(121, 212, 29)	5.012884	15.937879	1.005997	10	1	#09ff7ffffffffffffff7	1	(120, 213, 28)-(121, 212, 29)	1.372226	2.389799	0	NA	NA
patient13.gd	(119, 210, 26)-(120, 213, 28)	5.137422	12.396128	0.876386	8	1	#79ff7fffffffffffff87	1	(116, 219, 28)-(120, 213, 28)	0.435790	0.567062	0	NA	NA
patient13.gd	(105, 97, 35)-(116, 219, 28)	200.715902	1094.401053	1.317414	620	2	#77ff7fffffffffffff89	1	(113, 251, 25)-(116, 219, 28)	0.490356	3.774144	0	NA	NA
patient13.gd	(111, 252, 22)-(113, 251, 25)	5.196152	189.483677	3.406983	185	78	#ffc67ffffffffffffec9	142	(113, 251, 25)-(116, 268, 39)	0.497827	0.158148	2	NA	NA
patient13.gd	(109, 246, 18)-(111, 252, 22)	10.025769	329.382841	3.233826	265	79	#0032ff	9	(111, 252, 22)-(113, 251, 25)	0.949176	1.929460	2	0.795948935496	NA
patient13.gd	(109, 246, 18)-(119, 140, 25)	143.067733	1710.665723	1.950908	1086	120	#0079ff	8	(109, 246, 18)-(111, 252, 22)	0.603282	14.270001	2	2.07124547078	0.360285864101
patient13.gd	(119, 140, 25)-(127, 114, 22)	39.015427	127.503035	1.019922	92	20	#00ff6f	2	(109, 246, 18)-(119, 140, 25)	0.522794	0.272706	2	3.36342824403	0.443800693503
patient13.gd	(127, 114, 22)-(129, 110, 18)	8.375413	19.479630	0.860424	11	0	#a3ff7fffffffffffff5d	1	(119, 140, 25)-(127, 114, 22)	0.843617	0.214669	0	NA	NA
patient13.gd	(127, 114, 22)-(129, 109, 24)	7.993958	15.937879	0.796635	9	0	#ffeb7ffffffffffffeee	1	(119, 140, 25)-(127, 114, 22)	0.781074	0.204892	0	NA	NA
patient13.gd	(119, 140, 25)-(120, 133, 26)	9.321451	83.231148	1.685878	47	0	#00f8ff	6	(109, 246, 18)-(119, 140, 25)	0.864151	0.065154	2	NA	NA
patient13.gd	(120, 133, 26)-(121, 131, 25)	3.280834	5.312626	0.717939	3	0	#00ffec	1	(119, 140, 25)-(120, 133, 26)	0.425855	0.351966	0	NA	NA
patient13.gd	(103, 82, 14)-(120, 133, 26)	97.758104	880.125118	1.692859	502	5	#ffda7ffffffffffffedd	5	(119, 140, 25)-(120, 133, 26)	1.004141	10.487435	2	1.41094602094	0.274390397872
patient13.gd	(103, 82, 14)-(114, 78, 18)	20.510696	109.794280	1.305343	62	0	#0500ff	4	(103, 82, 14)-(120, 133, 26)	0.771088	0.209811	2	2.27032014484	1.13865478276
patient13.gd	(114, 78, 18)-(121, 73, 16)	15.007707	26.563132	0.750598	15	0	#ff467ffffffffffffe49	1	(103, 82, 14)-(114, 78, 18)	0.575020	0.731702	0	NA	NA
patient13.gd	(114, 78, 18)-(118, 80, 15)	7.110502	28.334008	1.126235	16	0	#00ff37	3	(103, 82, 14)-(114, 78, 18)	0.862788	0.346673	2	1.85113509577	2.08603491983
patient13.gd	(118, 80, 15)-(121, 77, 16)	5.444258	12.396128	0.851332	7	0	#43ff7fffffffffffffbd	2	(114, 78, 18)-(118, 80, 15)	0.755910	0.765664	2	4.4817688999	NA
patient13.gd	(121, 77, 16)-(126, 64, 36)	33.198872	54.897140	0.725501	31	0	#00feff	1	(118, 80, 15)-(121, 77, 16)	0.852196	6.097961	0	NA	NA
patient13.gd	(121, 77, 16)-(122, 76, 15)	2.097618	3.541751	0.733113	2	0	#00ff6d	1	(118, 80, 15)-(121, 77, 16)	0.861137	0.385290	0	NA	NA
