tag	name	len	vol	rad	voxc	defc	col	tips	parent	beta	gamma	nchild	q	s
patient13.gd	(116, 80, 12)-(118, 80, 15)	4.729013	7.083502	0.690500	4	0	#0045ff	1	(114, 78, 18)-(118, 80, 15)	0.613105	0.665074	0	NA	NA
patient13.gd	(102, 81, 13)-(103, 82, 14)	2.097618	3.541751	0.733113	2	0	#8dff7fffffffffffff73	1	(103, 82, 14)-(120, 133, 26)	0.433062	0.021457	0	NA	NA
patient13.gd	(109, 245, 17)-(109, 246, 18)	1.732051	3.541751	0.806777	2	0	#3700ff	1	(109, 246, 18)-(111, 252, 22)	0.249481	0.172760	0	NA	NA
patient13.gd	(108, 253, 18)-(111, 252, 22)	7.659337	467.511129	4.407836	423	159	#00ff78	133	(111, 252, 22)-(113, 251, 25)	1.293765	1.474040	2	1.80264234293	NA
patient13.gd	(105, 255, 15)-(108, 253, 18)	5.927286	138.128288	2.723569	160	82	#00c2ff	120	(108, 253, 18)-(111, 252, 22)	0.617893	0.773864	2	NA	NA
patient13.gd	(103, 259, 15)-(105, 255, 15)	7.386392	586.159787	5.025935	458	127	#00baff	119	(105, 255, 15)-(108, 253, 18)	1.845349	1.246168	2	1.39162030053	NA
patient13.gd	(101, 263, 14)-(103, 259, 15)	6.261907	173.545798	2.970153	139	41	#ff777ffffffffffffe7a	118	(103, 259, 15)-(105, 255, 15)	0.590965	0.847763	2	73.3101899607	NA
patient13.gd	(99, 268, 13)-(101, 263, 14)	9.149389	253.235195	2.968186	170	27	#ffbe7ffffffffffffec1	117	(101, 263, 14)-(103, 259, 15)	0.999338	1.461119	2	5.37816555612	NA
patient13.gd	(99, 268, 13)-(102, 272, 14)	6.627474	102.710778	2.221054	68	10	#5fff7fffffffffffffa1	116	(99, 268, 13)-(101, 263, 14)	0.748287	0.724362	2	NA	NA
patient13.gd	(102, 272, 14)-(107, 268, 8)	19.015823	416.155740	2.639341	358	123	#c200ff	1	(99, 268, 13)-(102, 272, 14)	1.188328	2.869242	0	NA	NA
patient13.gd	(101, 273, 13)-(102, 272, 14)	2.097618	3.541751	0.733113	2	0	#ff00a9	115	(99, 268, 13)-(102, 272, 14)	0.330074	0.316503	2	NA	NA
patient13.gd	(101, 273, 13)-(102, 274, 13)	1.673320	3.541751	0.820814	2	0	#ffa07ffffffffffffea3	113	(101, 273, 13)-(102, 272, 14)	1.119628	0.797724	2	NA	NA
patient13.gd	(102, 274, 13)-(103, 271, 10)	5.561719	58.438891	1.828822	43	10	#ff0020	1	(101, 273, 13)-(102, 274, 13)	2.228060	3.323763	0	NA	NA
patient13.gd	(102, 274, 13)-(102, 276, 12)	2.915267	17.708755	1.390529	16	6	#005fff	112	(101, 273, 13)-(102, 274, 13)	1.694086	1.742205	2	NA	NA
patient13.gd	(102, 276, 12)-(105, 280, 8)	8.842553	76.147646	1.655635	57	14	#ff00d5	1	(102, 274, 13)-(102, 276, 12)	1.190651	3.033188	0	NA	NA
patient13.gd	(102, 276, 12)-(104, 278, 14)	4.195235	28.334008	1.466226	17	1	#ff0010	111	(102, 274, 13)-(102, 276, 12)	1.054438	1.439057	2	NA	NA
patient13.gd	(104, 278, 14)-(108, 277, 9)	11.064708	118.648658	1.847509	94	27	#009dff	1	(102, 276, 12)-(104, 278, 14)	1.260044	2.637446	0	NA	NA
patient13.gd	(103, 279, 13)-(104, 278, 14)	2.097618	3.541751	0.733113	2	0	#fff57ffffffffffffef8	110	(102, 276, 12)-(104, 278, 14)	0.500000	0.500000	2	NA	NA
patient13.gd	(103, 279, 13)-(105, 288, 12)	15.960131	208.963308	2.041465	143	25	#00ff2f	109	(103, 279, 13)-(104, 278, 14)	2.784652	7.608694	2	3.7082045922	0.675415379207
patient13.gd	(105, 288, 12)-(106, 290, 11)	3.405371	21.250506	1.409378	15	3	#ff0011	108	(103, 279, 13)-(105, 288, 12)	0.690376	0.213367	2	NA	NA
patient13.gd	(106, 290, 11)-(110, 286, 9)	8.390471	60.209767	1.511351	50	16	#0074ff	1	(105, 288, 12)-(106, 290, 11)	1.072353	2.463893	0	NA	NA
patient13.gd	(106, 290, 11)-(106, 291, 12)	1.732051	3.541751	0.806777	2	0	#ff907ffffffffffffe93	107	(105, 288, 12)-(106, 290, 11)	0.572435	0.508623	2	NA	NA
patient13.gd	(106, 291, 12)-(112, 294, 13)	9.974114	171.774923	2.341358	116	19	#00ff74	2	(106, 290, 11)-(106, 291, 12)	2.902111	5.758557	2	NA	2.1436645662
patient13.gd	(112, 294, 13)-(113, 290, 9)	8.024904	150.524417	2.443479	138	53	#dcff7fffffffffffff24	1	(106, 291, 12)-(112, 294, 13)	1.043616	0.804573	0	NA	NA
patient13.gd	(109, 295, 14)-(112, 294, 13)	6.292853	72.605895	1.916405	51	10	#fff87ffffffffffffefb	1	(106, 291, 12)-(112, 294, 13)	0.818501	0.630919	0	NA	NA
patient13.gd	(105, 295, 11)-(106, 291, 12)	6.627474	132.815662	2.525665	83	8	#3f00ff	105	(106, 290, 11)-(106, 291, 12)	3.130559	3.826374	2	3.06476639274	NA
patient13.gd	(105, 295, 11)-(107, 299, 11)	7.659337	63.751518	1.627701	42	6	#ff004e	104	(105, 295, 11)-(106, 291, 12)	0.644465	1.155695	2	1.53195604446	NA
patient13.gd	(107, 299, 11)-(108, 300, 11)	1.673320	3.541751	0.820814	2	0	#46ff7fffffffffffffba	103	(105, 295, 11)-(107, 299, 11)	0.504278	0.218468	2	NA	NA
patient13.gd	(108, 300, 11)-(115, 301, 11)	12.554760	240.839067	2.471066	176	40	#fff87ffffffffffffefb	102	(107, 299, 11)-(108, 300, 11)	3.010508	7.502904	2	3.37842258681	0.490406839754
patient13.gd	(115, 301, 11)-(116, 302, 12)	2.097618	3.541751	0.733113	2	0	#ff00bd	101	(108, 300, 11)-(115, 301, 11)	0.296679	0.167077	2	NA	NA
patient13.gd	(116, 302, 12)-(120, 307, 16)	9.573687	175.316673	2.414332	117	18	#00ffa3	100	(115, 301, 11)-(116, 302, 12)	3.293261	4.564076	3	NA	15.2519377305
patient13.gd	(120, 307, 16)-(126, 311, 17)	9.484010	437.406246	3.831524	354	107	#0046ff	5	(116, 302, 12)-(120, 307, 16)	1.586991	0.990633	2	2.37687608865	NA
patient13.gd	(126, 311, 17)-(129, 307, 10)	11.819637	378.967355	3.194654	271	57	#c9ff7fffffffffffff37	1	(120, 307, 16)-(126, 311, 17)	0.833782	1.246270	0	NA	NA
patient13.gd	(126, 311, 17)-(128, 313, 14)	5.561719	106.252529	2.465984	110	50	#ff797ffffffffffffe7c	4	(120, 307, 16)-(126, 311, 17)	0.643604	0.586431	2	NA	NA
patient13.gd	(128, 313, 14)-(135, 312, 15)	12.986133	253.235195	2.491421	198	55	#ff00ac	2	(126, 311, 17)-(128, 313, 14)	1.010315	2.334913	2	1.3781492321	1.45959788497
patient13.gd	(135, 312, 15)-(139, 317, 12)	11.764895	67.293269	1.349326	47	9	#00c4ff	1	(128, 313, 14)-(135, 312, 15)	0.541589	0.905958	0	NA	NA
patient13.gd	(135, 312, 15)-(136, 314, 16)	3.280834	28.334008	1.658009	29	13	#f5ff7fffffffffffff0b	1	(128, 313, 14)-(135, 312, 15)	0.665487	0.252641	0	NA	NA
patient13.gd	(128, 313, 14)-(131, 315, 11)	5.927286	106.252529	2.388728	72	12	#3600ff	2	(126, 311, 17)-(128, 313, 14)	0.968672	1.065729	2	1.31209382617	NA
patient13.gd	(131, 315, 11)-(136, 317, 10)	8.418255	58.438891	1.486500	48	15	#ff0055	1	(128, 313, 14)-(131, 315, 11)	0.622298	1.420255	0	NA	NA
patient13.gd	(130, 313, 9)-(131, 315, 11)	3.829669	21.250506	1.329013	21	9	#00fff9	1	(128, 313, 14)-(131, 315, 11)	0.556368	0.646108	0	NA	NA
patient13.gd	(120, 307, 16)-(124, 303, 12)	8.390471	166.462296	2.512985	127	33	#fff37ffffffffffffef6	1	(116, 302, 12)-(120, 307, 16)	1.040861	0.876410	0	NA	NA
patient13.gd	(119, 308, 16)-(120, 307, 16)	1.673320	3.541751	0.820814	2	0	#7a00ff	94	(116, 302, 12)-(120, 307, 16)	0.339975	0.174783	2	NA	NA
patient13.gd	(119, 308, 16)-(119, 310, 15)	2.915267	24.792257	1.645296	19	5	#0080ff	3	(119, 308, 16)-(120, 307, 16)	2.004469	1.742205	2	NA	NA
patient13.gd	(119, 310, 15)-(121, 309, 9)	11.387433	292.194456	2.857907	189	24	#13ff7fffffffffffffed	1	(119, 308, 16)-(119, 310, 15)	1.737018	3.906137	0	NA	NA
patient13.gd	(119, 310, 15)-(119, 311, 16)	1.732051	3.541751	0.806777	2	0	#5000ff	2	(119, 308, 16)-(119, 310, 15)	0.490354	0.594131	2	NA	NA
patient13.gd	(119, 311, 16)-(124, 317, 9)	14.317757	456.885876	3.187069	325	67	#ff357ffffffffffffe38	1	(119, 310, 15)-(119, 311, 16)	3.950369	8.266361	0	NA	NA
patient13.gd	(114, 314, 9)-(119, 311, 16)	15.625510	396.676110	2.842667	341	117	#ffd77ffffffffffffeda	1	(119, 310, 15)-(119, 311, 16)	3.523483	9.021392	0	NA	NA
patient13.gd	(118, 307, 17)-(119, 308, 16)	2.097618	3.541751	0.733113	2	0	#00ceff	91	(119, 308, 16)-(120, 307, 16)	0.893154	1.253566	2	NA	NA
patient13.gd	(116, 304, 19)-(118, 307, 17)	5.378451	77.918522	2.147419	59	15	#fd00ff	88	(118, 307, 17)-(119, 308, 16)	2.929179	2.564076	2	NA	NA
patient13.gd	(116, 304, 19)-(119, 301, 18)	6.261907	132.815662	2.598343	111	36	#ff005e	3	(116, 304, 19)-(118, 307, 17)	1.209984	1.164258	2	NA	NA
patient13.gd	(119, 301, 18)-(122, 298, 18)	5.019960	134.586537	2.921297	103	27	#ff5f7ffffffffffffe62	2	(116, 304, 19)-(119, 301, 18)	1.124293	0.801666	2	1.94333471955	NA
patient13.gd	(122, 298, 18)-(129, 298, 19)	12.738028	184.171051	2.145283	187	83	#00b5ff	1	(119, 301, 18)-(122, 298, 18)	0.734360	2.537476	0	NA	NA
patient13.gd	(122, 298, 18)-(124, 296, 16)	4.195235	49.584514	1.939635	52	24	#ff317ffffffffffffe34	1	(119, 301, 18)-(122, 298, 18)	0.663963	0.835711	0	NA	NA
patient13.gd	(115, 299, 15)-(119, 301, 18)	7.235039	217.817685	3.095645	148	25	#b2ff7fffffffffffff4e	1	(116, 304, 19)-(119, 301, 18)	1.191392	1.155405	0	NA	NA
patient13.gd	(115, 302, 21)-(116, 304, 19)	3.829669	14.167004	1.085134	20	12	#ff006e	85	(116, 304, 19)-(118, 307, 17)	0.505320	0.712039	2	NA	NA
patient13.gd	(115, 298, 22)-(115, 302, 21)	7.110502	182.400175	2.857509	153	50	#9eff7fffffffffffff62	73	(115, 302, 21)-(116, 304, 19)	2.633323	1.856689	2	NA	NA
patient13.gd	(115, 298, 22)-(128, 305, 27)	26.514026	793.352219	3.086173	607	159	#56ff7fffffffffffffaa	3	(115, 298, 22)-(115, 302, 21)	1.080022	3.728854	2	2.3262679132	1.2664811419
patient13.gd	(128, 305, 27)-(132, 312, 28)	12.620566	244.380818	2.482671	162	24	#ff8f7ffffffffffffe92	2	(115, 298, 22)-(128, 305, 27)	0.804450	0.475996	2	3.81243699961	NA
patient13.gd	(132, 312, 28)-(146, 317, 26)	20.968885	269.173074	2.021404	184	32	#0079ff	1	(128, 305, 27)-(132, 312, 28)	0.814205	1.661485	0	NA	NA
patient13.gd	(132, 312, 28)-(135, 317, 27)	7.935227	111.565156	2.115484	68	5	#9eff7fffffffffffff62	1	(128, 305, 27)-(132, 312, 28)	0.852100	0.628754	0	NA	NA
patient13.gd	(128, 305, 27)-(129, 295, 31)	17.933211	242.609942	2.075154	170	33	#0092ff	1	(115, 298, 22)-(128, 305, 27)	0.672404	0.676367	0	NA	NA
patient13.gd	(115, 298, 22)-(122, 288, 23)	20.575533	1407.846014	4.666885	1009	214	#ff717ffffffffffffe74	70	(115, 298, 22)-(115, 302, 21)	1.633201	2.893682	2	1.17414293614	0.691312515762
patient13.gd	(122, 288, 23)-(125, 291, 20)	8.908359	193.025428	2.626234	133	24	#00ff88	4	(115, 298, 22)-(122, 288, 23)	0.562738	0.432959	2	NA	NA
patient13.gd	(125, 291, 20)-(130, 291, 17)	8.542793	262.089572	3.125000	170	22	#ff00bc	3	(122, 288, 23)-(125, 291, 20)	1.189917	0.958964	2	1.42720851615	1.99480103459
patient13.gd	(130, 291, 17)-(132, 293, 16)	3.770938	28.334008	1.546516	24	8	#ff057ffffffffffffe08	2	(125, 291, 20)-(130, 291, 17)	0.494885	0.441417	2	NA	NA
patient13.gd	(132, 293, 16)-(134, 294, 13)	5.927286	54.897140	1.717007	33	2	#c7ff7fffffffffffff39	1	(130, 291, 17)-(132, 293, 16)	1.110242	1.571833	0	NA	NA
patient13.gd	(132, 293, 16)-(133, 297, 19)	6.744935	67.293269	1.782059	47	9	#ff677ffffffffffffe6a	1	(130, 291, 17)-(132, 293, 16)	1.152305	1.788663	0	NA	NA
patient13.gd	(130, 287, 13)-(130, 291, 17)	7.659337	123.961284	2.269721	76	6	#0097ff	1	(125, 291, 20)-(130, 291, 17)	0.726311	0.896585	0	NA	NA
patient13.gd	(125, 291, 20)-(128, 298, 21)	10.301659	189.483677	2.419677	136	29	#ff0026	1	(122, 288, 23)-(125, 291, 20)	0.921348	1.156404	0	NA	NA
patient13.gd	(122, 288, 23)-(124, 284, 24)	6.261907	127.503035	2.545845	99	27	#0076ff	66	(115, 298, 22)-(122, 288, 23)	0.545513	0.304338	2	NA	NA
patient13.gd	(124, 284, 24)-(136, 292, 21)	21.221121	393.134359	2.428351	261	39	#00ff63	2	(122, 288, 23)-(124, 284, 24)	0.953848	3.388923	2	0.700495799884	1.69987336403
patient13.gd	(136, 292, 21)-(146, 294, 21)	13.910037	53.126265	1.102594	30	0	#0600ff	1	(124, 284, 24)-(136, 292, 21)	0.454050	0.655481	0	NA	NA
patient13.gd	(136, 292, 21)-(143, 298, 14)	14.317757	23.021381	0.715407	13	0	#0057ff	1	(124, 284, 24)-(136, 292, 21)	0.294606	0.674694	0	NA	NA
patient13.gd	(124, 284, 24)-(129, 280, 24)	7.876496	171.774923	2.634744	104	7	#ff00e8	64	(122, 288, 23)-(124, 284, 24)	1.034919	1.257843	2	NA	NA
patient13.gd	(129, 280, 24)-(140, 283, 20)	17.412161	185.941926	1.843688	158	53	#ff857ffffffffffffe88	1	(124, 284, 24)-(129, 280, 24)	0.699760	2.210648	0	NA	NA
patient13.gd	(126, 274, 30)-(129, 280, 24)	12.431192	439.177121	3.353425	317	69	#ff0076	63	(124, 284, 24)-(129, 280, 24)	1.272771	1.578264	2	NA	0.971208994578
patient13.gd	(126, 274, 30)-(129, 273, 31)	4.588587	58.438891	2.013430	56	23	#69ff7fffffffffffff97	35	(126, 274, 30)-(129, 280, 24)	0.600410	0.369119	3	NA	NA
patient13.gd	(129, 273, 31)-(136, 281, 35)	14.593647	734.913328	4.003697	505	90	#2600ff	19	(126, 274, 30)-(129, 273, 31)	1.988496	3.180423	2	1.38099672867	0.674932633085
patient13.gd	(136, 281, 35)-(136, 283, 34)	3.770938	83.231148	2.650595	73	26	#00ff20	17	(129, 273, 31)-(136, 281, 35)	0.662037	0.258396	2	NA	NA
patient13.gd	(136, 283, 34)-(143, 281, 30)	12.189193	292.194456	2.762317	179	14	#00d6ff	2	(136, 281, 35)-(136, 283, 34)	1.042150	3.232404	2	1.16028634372	NA
patient13.gd	(143, 281, 30)-(153, 274, 33)	16.784856	63.751518	1.099541	36	0	#00ff98	1	(136, 283, 34)-(143, 281, 30)	0.398050	1.377028	0	NA	NA
patient13.gd	(143, 281, 30)-(147, 285, 28)	8.390471	97.398152	1.922238	73	18	#8600ff	1	(136, 283, 34)-(143, 281, 30)	0.695879	0.688353	0	NA	NA
patient13.gd	(136, 283, 34)-(138, 288, 34)	6.896288	214.275934	3.144880	131	10	#005dff	15	(136, 281, 35)-(136, 283, 34)	1.186481	1.828799	2	NA	NA
patient13.gd	(138, 288, 34)-(155, 287, 43)	27.255631	162.920545	1.379383	131	39	#ff002d	1	(136, 283, 34)-(138, 288, 34)	0.438612	3.952218	0	NA	NA
patient13.gd	(138, 288, 34)-(139, 295, 33)	9.321451	299.277958	3.196838	171	2	#ff0066	14	(136, 283, 34)-(138, 288, 34)	1.016522	1.351662	2	1.00593251737	NA
patient13.gd	(139, 295, 33)-(143, 300, 29)	9.698224	86.772899	1.687606	57	8	#ffb27ffffffffffffeb5	2	(138, 288, 34)-(139, 295, 33)	0.527898	1.040420	2	1.20137737383	NA
patient13.gd	(143, 300, 29)-(150, 305, 28)	12.130462	30.104883	0.888802	18	1	#ff217ffffffffffffe24	1	(139, 295, 33)-(143, 300, 29)	0.526664	1.250792	0	NA	NA
patient13.gd	(142, 303, 27)-(143, 300, 29)	5.012884	15.937879	1.005997	9	0	#0091ff	1	(139, 295, 33)-(143, 300, 29)	0.596109	0.516887	0	NA	NA
patient13.gd	(138, 297, 34)-(139, 295, 33)	3.405371	24.792257	1.522302	15	1	#00ff04	12	(138, 288, 34)-(139, 295, 33)	0.476190	0.365326	2	2.60576505575	NA
patient13.gd	(138, 297, 34)-(139, 298, 34)	1.673320	3.541751	0.820814	2	0	#ff00c7	4	(138, 297, 34)-(139, 295, 33)	0.539192	0.491377	2	NA	NA
patient13.gd	(139, 298, 34)-(153, 299, 35)	19.557303	53.126265	0.929876	31	1	#1bff7fffffffffffffe5	1	(138, 297, 34)-(139, 298, 34)	1.132872	11.687724	0	NA	NA
patient13.gd	(139, 298, 34)-(142, 306, 32)	11.784635	177.087549	2.187062	100	0	#0058ff	3	(138, 297, 34)-(139, 298, 34)	2.664504	7.042667	2	2.33151938722	NA
patient13.gd	(142, 306, 32)-(145, 310, 30)	7.051771	63.751518	1.696372	36	0	#00ff77	2	(139, 298, 34)-(142, 306, 32)	0.775640	0.598387	2	1.39593209206	NA
patient13.gd	(145, 310, 30)-(147, 317, 31)	10.667226	56.668016	1.300374	32	0	#ff00dd	1	(142, 306, 32)-(145, 310, 30)	0.766562	1.512702	0	NA	NA
patient13.gd	(145, 310, 30)-(146, 311, 29)	2.097618	3.541751	0.733113	2	0	#00ffe2	1	(142, 306, 32)-(145, 310, 30)	0.432165	0.297460	0	NA	NA
patient13.gd	(136, 317, 34)-(142, 306, 32)	16.929133	127.503035	1.548346	76	4	#ff004c	1	(139, 298, 34)-(142, 306, 32)	0.707957	1.436543	0	NA	NA
patient13.gd	(137, 298, 36)-(138, 297, 34)	3.464102	21.250506	1.397380	12	0	#00c4ff	8	(138, 297, 34)-(139, 295, 33)	0.917938	1.017247	2	NA	NA
patient13.gd	(137, 298, 36)-(138, 303, 38)	10.063791	127.503035	2.008189	96	24	#00ff25	2	(137, 298, 36)-(138, 297, 34)	1.437110	2.905166	2	0.912430215068	NA
patient13.gd	(138, 303, 38)-(147, 308, 43)	15.594564	38.959261	0.891751	22	0	#00ffdf	1	(137, 298, 36)-(138, 303, 38)	0.444058	1.549572	0	NA	NA
patient13.gd	(136, 315, 43)-(138, 303, 38)	17.922974	54.897140	0.987404	31	0	#00ffb2	1	(137, 298, 36)-(138, 303, 38)	0.491689	1.780937	0	NA	NA
patient13.gd	(137, 296, 40)-(137, 298, 36)	5.993924	67.293269	1.890407	38	0	#ff0075	6	(137, 298, 36)-(138, 297, 34)	1.352823	1.730297	3	3.23604649325	NA
patient13.gd	(137, 296, 40)-(142, 290, 48)	14.749961	154.066168	1.823406	91	4	#00fcff	2	(137, 296, 40)-(137, 298, 36)	0.964557	2.460819	2	0.857211289438	0.873632398372
patient13.gd	(142, 290, 48)-(144, 290, 49)	3.770938	8.854377	0.864529	5	0	#ff007ffffffffffffe03	1	(137, 296, 40)-(142, 290, 48)	0.474129	0.255657	0	NA	NA
patient13.gd	(141, 283, 48)-(142, 290, 48)	9.745748	17.708755	0.760521	10	0	#ff8c7ffffffffffffe8f	1	(137, 296, 40)-(142, 290, 48)	0.417089	0.660730	0	NA	NA
patient13.gd	(137, 296, 40)-(137, 297, 41)	1.732051	3.541751	0.806777	2	0	#00f8ff	1	(137, 296, 40)-(137, 298, 36)	0.426775	0.288968	0	NA	NA
patient13.gd	(136, 295, 41)-(137, 296, 40)	2.097618	3.541751	0.733113	2	0	#bbff7fffffffffffff45	3	(137, 296, 40)-(137, 298, 36)	0.387807	0.349957	3	NA	NA
patient13.gd	(136, 295, 41)-(137, 300, 46)	9.756955	37.188385	1.101467	21	0	#ff0097	1	(136, 295, 41)-(137, 296, 40)	1.502452	4.651446	0	NA	NA
patient13.gd	(134, 292, 44)-(136, 295, 41)	5.927286	17.708755	0.975194	10	0	#ff0012	1	(136, 295, 41)-(137, 296, 40)	1.330210	2.825723	0	NA	NA
patient13.gd	(129, 303, 40)-(136, 295, 41)	16.380298	65.522393	1.128390	50	13	#90ff7fffffffffffff70	1	(136, 295, 41)-(137, 296, 40)	1.539175	7.809001	0	NA	NA
patient13.gd	(136, 281, 35)-(136, 281, 39)	6.826630	102.710778	2.188416	76	18	#00ffb6	2	(129, 273, 31)-(136, 281, 35)	0.546599	0.467781	2	0.953299492752	NA
patient13.gd	(136, 281, 39)-(137, 281, 40)	1.732051	3.541751	0.806777	2	0	#ff5f7ffffffffffffe62	1	(136, 281, 35)-(136, 281, 39)	0.368658	0.253720	0	NA	NA
patient13.gd	(133, 281, 47)-(136, 281, 39)	12.454987	67.293269	1.311412	39	1	#00ddff	1	(136, 281, 35)-(136, 281, 39)	0.599252	1.824471	0	NA	NA
patient13.gd	(129, 273, 31)-(134, 266, 35)	13.410431	336.466343	2.826015	250	60	#af00ff	5	(126, 274, 30)-(129, 273, 31)	1.403582	2.922562	2	1.06285494515	5.91994851485
patient13.gd	(134, 266, 35)-(140, 261, 39)	12.064656	90.314650	1.543642	51	0	#7aff7fffffffffffff86	2	(129, 273, 31)-(134, 266, 35)	0.546226	0.899647	2	1.36374497744	0.698564675684
patient13.gd	(140, 261, 39)-(145, 259, 40)	7.320586	28.334008	1.109957	16	0	#a300ff	1	(134, 266, 35)-(140, 261, 39)	0.719051	0.606779	0	NA	NA
patient13.gd	(139, 260, 40)-(140, 261, 39)	2.097618	3.541751	0.733113	2	0	#b5ff7fffffffffffff4b	1	(134, 266, 35)-(140, 261, 39)	0.474924	0.173865	0	NA	NA
patient13.gd	(133, 258, 37)-(134, 266, 35)	11.784635	72.605895	1.400403	56	15	#0042ff	3	(129, 273, 31)-(134, 266, 35)	0.495540	0.878766	2	NA	1.50171409633
patient13.gd	(133, 258, 37)-(134, 253, 35)	7.379316	46.042763	1.409281	26	0	#00ff07	2	(133, 258, 37)-(134, 266, 35)	1.006340	0.626181	2	1.12075988078	NA
patient13.gd	(134, 253, 35)-(137, 239, 35)	18.035336	33.646634	0.770608	19	0	#0078ff	1	(133, 258, 37)-(134, 253, 35)	0.546810	2.444039	0	NA	NA
patient13.gd	(128, 245, 35)-(134, 253, 35)	13.099464	23.021381	0.747935	13	0	#00ff03	1	(133, 258, 37)-(134, 253, 35)	0.530721	1.775160	0	NA	NA
