 name	 vol(cu.um)	 len(um)	 <r>_vl(um)	 <r>_obs(um)	 par	 num_child	 children...		
61.001	9.408	2.12603	1.18683	0.466667	51	0			
31.001	246.176	56.6434	1.17618	0.945113	23	0			
14.001	586.432	27.0628	2.62632	1.94683	8	0			
5.001	8.88533	1.4	1.42134	0.7	6	0			
10.001	486.08	55.2286	1.67377	1.35832	9	2	17.001	18.001	
17.001	128.576	33.5374	1.10469	0.869667	10	0			
18.001	188.16	45.7432	1.14426	0.882328	10	2	26.001	27.001	
26.001	9.408	2.54558	1.08463	0.466667	18	0			
27.001	404.544	52.5327	1.56564	3.51887	18	0			
15.001	1398.66	126.641	1.87497	1.52577	16	0			
11.001	586.432	4.67161	6.32121	5.42202	19	0			
57.001	658.56	13.4113	3.95355	8.37903	56	2	72.001	73.001	
72.001	25.088	8.9799	0.943023	0.175	57	0			
73.001	323.008	25.2291	2.01874	2.33381	57	0			
1.02	440.608	26.5918	2.29656	4.2535	N/A	2	0.02	2.02	
0.02	78.4	6.49117	1.96075	2.73224	1	0			
2.02	142.688	6.23196	2.69964	2.88149	1	2	3.02	4.02	
3.02	2957.25	53.9067	4.17876	4.39728	2	2	5.02	6.02	
5.02	580.16	30.9712	2.44186	2.54535	3	0			
6.02	1260.67	10.0172	6.32926	5.92521	3	2	7.02	8.02	
7.02	551.936	15.9569	3.31814	3.32792	6	0			
8.02	5158.72	70.6014	4.82269	4.64453	6	2	9.02	10.02	
9.02	1608.77	36.4037	3.75059	4.24545	8	2	11.02	12.02	
11.02	228.928	29.1936	1.5799	1.61001	9	2	16.02	17.02	
16.02	47.04	10.7432	1.18057	1.00736	11	0			
17.02	21.952	1.4	2.23408	1.35644	11	0			
12.02	37.632	8.72548	1.17168	0.981658	9	0			
10.02	304.192	7.63675	3.56078	3.07421	8	3	13.02	14.02	15.02
13.02	228.928	5.09117	3.78326	2.74041	10	2	18.02	19.02	
18.02	252.448	25.0806	1.78996	2.33781	13	0			
19.02	233.632	8.25151	3.0021	3.98596	13	0			
14.02	655.424	20.506	3.18967	3.65367	10	0			
15.02	1422.18	47.5174	3.08656	3.63493	10	2	20.02	21.02	
20.02	20.384	0.5	3.60234	1.83445	15	2	22.02	23.02	
22.02	323.008	25.4463	2.01011	2.55195	20	2	24.02	25.02	
24.02	15.68	7.2172	0.831599	1.02208	22	0			
25.02	3.136	0	inf	0	22	0			
23.02	172.48	33.2291	1.28539	1.50148	20	0			
21.02	467.264	19.5256	2.75997	3.75086	15	0			
4.02	50.176	4.67161	1.84901	1.72484	2	0			
8.03	188.16	12.3432	2.2028	1.92069	N/A	2	4.03	7.03	
4.03	633.472	14.8492	3.685	4.77217	8	2	3.03	2.03	
3.03	523.712	20.2301	2.87059	2.18139	4	2	5.03	6.03	
5.03	235.2	29.7794	1.58557	1.72439	3	0			
6.03	31.36	0.5	4.46815	1.84764	3	2	9.03	10.03	
9.03	493.92	44.1362	1.88737	1.40677	6	2	11.03	12.03	
11.03	65.856	20.8451	1.00282	0.643627	9	2	15.03	16.03	
15.03	19.8613	7.2172	0.935933	0.7	11	2	18.03	19.03	
18.03	7.31733	4.25206	0.74012	0	15	0			
