 name	 vol(cu.um)	 len(um)	 <r>_vl(um)	 <r>_obs(um)	 par	 num_child	 children...		
69.001	15777.2	76.6767	8.09298	10.9162	nan	2	70.001	49.001	
70.001	7811.78	73.7177	5.80783	6.00021	69	2	91.001	92.001	
91.001	56.448	16.4143	1.04626	0.811111	70	0			
92.001	94.08	5.65206	2.30181	1.4601	70	2	111.001	88.001	
111.001	28.224	7.3397	1.10636	0.644444	92	0			
88.001	65.856	1.9799	3.25388	1.72622	92	2	64.001	87.001	
64.001	53.312	4.7799	1.88421	1.1913	88	2	44.001	63.001	
44.001	6.272	0.5	1.99822	0.7	64	2	29.001	45.001	
29.001	323.008	22.3256	2.146	1.88729	44	3	28.001	18.001	30.001
28.001	18163.7	9.05097	25.2743	40.7845	29	2	42.001	43.001	
42.001	43.904	0.5	5.28679	2.04827	28	2	59.001	60.001	
59.001	125.44	2.54558	3.96049	2.26497	42	2	83.001	84.001	
83.001	108.192	3.94558	2.95438	1.7905	59	2	109.001	110.001	
109.001	31.36	7.97809	1.11857	0.900539	83	0			
110.001	97.216	18.2853	1.3009	0.920194	83	0			
84.001	105.056	14.6888	1.50884	1.30462	59	0			
60.001	203.84	31.6492	1.43182	1.29334	42	0			
43.001	194.432	26.3746	1.53185	1.32408	28	2	61.001	62.001	
61.001	16.7253	5.9397	0.946739	0.466667	43	2	85.001	86.001	
85.001	1.04533	0.5	0.815769	0	61	0			
86.001	10.4533	5.3598	0.787913	0	61	0			
62.001	34.496	6.7598	1.27451	0.8	43	0			
18.001	1989.79	25.1918	5.01417	4.83068	29	2	12.001	19.001	
12.001	7877.63	35.296	8.4287	7.60478	18	2	13.001	6.001	
13.001	3035.65	47.0025	4.53409	4.32047	12	2	20.001	21.001	
20.001	2573.09	249.138	1.81314	1.37925	13	2	33.001	34.001	
33.001	1657.38	223.135	1.53763	1.22526	20	0			
34.001	235.2	32.3049	1.52233	1.21885	20	2	53.001	54.001	
53.001	395.136	78.6623	1.26449	1.41198	34	0			
54.001	163.072	36.7149	1.18903	0.992649	34	2	77.001	78.001	
77.001	65.856	18.7213	1.05817	0.770471	54	0			
78.001	755.776	29.4788	2.85672	4.92524	54	2	101.001	102.001	
101.001	81.536	8.47107	1.75037	1.67305	78	2	120.001	121.001	
120.001	153.664	19.4296	1.58664	1.34434	101	2	129.001	130.001	
129.001	47.04	14.7427	1.00779	0.705327	120	0			
130.001	19.8613	6.08583	1.01922	0.628571	120	2	133.001	134.001	
133.001	1.04533	0.5	0.815769	0	130	0			
134.001	7.31733	5.09117	0.676383	0	130	0			
121.001	15.68	2.54558	1.40025	0.84	101	0			
102.001	21.952	9.30538	0.866553	0.2	78	0			
21.001	213.248	5.9397	3.38053	2.34237	13	2	35.001	36.001	
35.001	53.312	10.2716	1.28534	1.07668	21	0			
36.001	1016.06	92.078	1.87416	1.46527	21	0			
6.001	1433.15	6.27161	8.52867	7.10457	12	2	7.001	2.001	
7.001	5610.3	157.439	3.36792	3.05689	6	2	14.001	15.001	
14.001	666.4	72.518	1.71029	1.93593	7	0			
15.001	658.56	21.1041	3.15166	2.3163	7	2	22.001	23.001	
22.001	175.616	10.432	2.31486	1.55374	15	2	37.001	38.001	
37.001	686.784	117.281	1.36528	1.61512	22	0			
38.001	1731.07	100.166	2.34543	1.71645	22	2	55.001	56.001	
55.001	134.848	7.2172	2.43873	2.69645	38	2	79.001	80.001	
79.001	105.056	16.9562	1.40434	1.09941	55	2	103.001	104.001	
103.001	45.472	12.8314	1.06209	0.666667	79	1	122.001		
122.001	75.264	14.0497	1.30583	1.29114	103	2	131.001	132.001	
131.001	31.36	8.77754	1.06642	0.84	122	0			
132.001	90.944	29.7688	0.986125	0.606203	122	0			
